month,n_payments,total_eur
2021-08,7,31576.27
2021-09,27,81768.34
2021-10,12,83234.44
2021-11,19,121683.86
2021-12,23,186220.07
2022-01,7,67910.84
2022-02,12,127936.84
2022-03,13,129552.24
2022-04,8,62728.11
2022-05,6,98704.5
2022-06,14,128807.12
2022-07,18,193431.13
2022-08,19,121802.19
2022-09,7,68119.66
2022-10,19,151787.9
2022-11,12,142920.08
2022-12,15,116608.47
2023-01,12,171589.02
2023-02,3,54297.58
2023-03,15,144945.82
2023-04,9,125098.24
2023-05,16,258470.12
2023-06,12,107306.33
2023-07,21,3080734.89
2023-08,10,133907.91
2023-09,5,94154.36
2023-10,11,155600.12
2023-11,15,117313.7
2023-12,10,88988.14
2024-01,11,224248.62
2024-02,21,127819.18
2024-03,8,128476.3
2024-04,9,114550.44
2024-05,17,168623.89
2024-06,20,253037.34
2024-07,14,250345.24
2024-08,7,133175.72
2024-09,14,64552.35
2024-10,10,82133.62
2024-11,15,229748.02
2024-12,7,180652.7
2025-01,5,44729.88
2025-02,16,185649.8
2025-03,13,93818.78
2025-04,8,90649.27
2025-05,12,130068.49
2025-06,11,95396.2
2025-07,25,150648.46
2025-08,5,39633.55
2025-09,21,164462.98
2025-10,16,81562.51
2025-11,19,180599.91
2025-12,21,180868.63
2026-01,10,80959.24
2026-02,16,65792.16
2026-03,21,131347.19
2026-04,12,72189.48
2026-05,13,77830.37
2026-06,20,99077.84
2026-07,33,240902.61
2026-08,8,19251.42
