month,n_payments,total_eur
2021-08,159,620647.98
2021-09,199,480395.35
2021-10,212,1142509.49
2021-11,228,1240752.98
2021-12,337,1752310.36
2022-01,14,10441.96
2022-02,240,1223749.26
2022-03,279,1634376.08
2022-04,210,840506.42
2022-05,240,713428.78
2022-06,131,725304.43
2022-07,102,592882.46
2022-08,20,35901.17
2022-09,75,434340.02
2022-10,62,468193.23
2022-11,195,639322.12
2022-12,119,2004761.67
2023-01,46,69218.82
2023-02,167,1265622.87
2023-03,153,839325.64
2023-04,119,735819.12
2023-05,221,1700914.29
2023-06,219,3660209.96
2023-07,298,14501581.78
2023-08,69,436108.39
2023-09,94,608183.76
2023-10,142,456040.91
2023-11,94,979182.74
2023-12,53,247761.75
2024-01,12,6962.38
2024-02,185,1372145.68
2024-03,284,1777217.12
2024-04,305,1719345.78
2024-05,246,1324376.19
2024-06,210,1762735.58
2024-07,137,514879.6
2024-08,27,219498.43
2024-09,89,769603.22
2024-10,317,1780168.59
2024-11,93,487438.69
2024-12,135,520045.22
2025-01,70,216435.12
2025-02,218,1108192.87
2025-03,138,668909.16
2025-04,178,1043696.23
2025-05,234,34303023.75
2025-06,144,788145.2
2025-07,281,1508245.05
2025-08,135,889451.21
2025-09,210,1443835.25
2025-10,105,528335.89
2025-11,277,1359299.99
2025-12,260,1465817.62
2026-01,28,70870.23
2026-02,240,1802046.61
2026-03,183,1155981.07
2026-04,264,1081705.46
2026-05,144,774538.44
2026-06,421,2757537.67
2026-07,188,984280.08
2026-08,61,617565.21
