month,n_payments,total_eur
2021-08,208,1679752.0
2021-09,272,2011817.48
2021-10,127,1641957.47
2021-11,374,5077908.31
2021-12,344,6520261.37
2022-02,1,10099.2
2022-03,11,296948.87
2022-04,259,3173036.73
2022-05,121,1245480.42
2022-06,309,2429293.21
2022-07,108,731927.65
2022-08,171,1845119.35
2022-09,126,3360458.61
2022-10,324,4595199.58
2022-11,236,3259631.73
2022-12,228,5113069.53
2023-01,2,1873.54
2023-02,174,1628856.78
2023-03,218,1618577.11
2023-04,128,1928955.92
2023-05,54,1949517.1
2023-06,269,4035895.61
2023-07,281,3805201.92
2023-08,330,1482458.91
2023-09,108,3794922.94
2023-10,153,1021846.81
2023-11,353,4240913.15
2023-12,96,1032383.3
2024-01,12,95433.55
2024-02,252,6550015.4
2024-03,111,1806117.79
2024-04,65,560494.94
2024-05,330,4827044.66
2024-06,187,1005152.02
2024-07,362,4413701.21
2024-08,172,1845568.22
2024-09,54,421867.74
2024-10,50,587442.15
2024-11,223,1100563.05
2024-12,262,6719308.63
2025-01,13,144898.41
2025-02,297,3064576.42
2025-03,217,1570972.69
2025-04,132,3519803.0
2025-05,221,3184885.17
2025-06,32,774818.84
2025-07,98,2597070.48
2025-08,80,995907.17
2025-09,237,2514159.3
2025-10,108,1436198.51
2025-11,111,3007569.47
2025-12,318,9577693.52
2026-01,2,1224.0
2026-02,338,5713250.51
2026-03,548,6554770.95
2026-04,277,2206069.1
2026-05,381,2412315.62
2026-06,291,2693311.71
2026-07,435,3950832.27
2026-08,107,887041.61
