ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
6ΗΞΠ4690ΩΔ-4ΧΝ,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02761,094027257,ABBOTT LABORATORIES (ΕΛΛΑΣ) Α.Β.Ε.Ε,77608.93,,
ΩΔΨΥ4690ΩΔ-Π9Η,2021-12-27,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02834,090000045,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ Α.Ε,942282.0,,
6Δ8Ε4690ΩΔ-ΔΨ0,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02812,094019245,Ο.Τ.Ε.,1843.0,,
ΩΓ6Ι4690ΩΔ-ΠΝΟ,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02810,090064864,Ι.Φ.Ε.Τ.      Α.Ε.,341796.63,,
ΨΠΤΝ4690ΩΔ-ΘΙ2,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02808,999574470,MEDICAL HORIZONS Κ.ΒΕΛΙΣΣΑΡΙΟΣ & ΣΙΑ,74317.89,,
ΩΣΞΗ4690ΩΔ-ΘΜΕ,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02807,094133588,ΓΕΝΙΚΗ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ Α.Ε.,39838.97,,
Ω0Γ94690ΩΔ-ΠΛ2,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02803,094503580,ΕΝΟΡΑΣΙΣ Α.Ε.,94135.0,,
60674690ΩΔ-6ΝΞ,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02797,084257504,ΜΕΛΚΑΤ ΑΕ,46785.2,,
Ψ4ΜΠ4690ΩΔ-6Δ4,2021-12-23,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02793,999656321,ΒΙΟΚΟΝ ΙΑΤΡΙΚΑ & ΒΙΟΤΕΧΝΟΛΟΓΙΚΑ ΠΡΟΪΟΝΤΑ ΕΠΕ,50245.42,,
ΨΘΥΧ4690ΩΔ-ΨΝΔ,2021-12-22,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02783,094503580,ΕΝΟΡΑΣΙΣ Α.Ε.,29394.95,,
Ψ6ΨΦ4690ΩΔ-ΓΦΡ,2021-12-22,ΧΕΠ ΕΚΔΟΣΗ ΧΡΗΜΑΤΙΚΟΥ ΕΝΤΑΛΜΑΤΟΣ 21/.02781,094007897,ΚΟΠΕΡ  ΦΑΡΜΑΚ/ΜΗΧΑΝΙΑ Α.Ε.,14987.04,,
