month,n_payments,total_eur
2021-10,1,4000.0
2021-11,92,3477576.17
2021-12,434,36674066.41
2022-01,22,2704168.42
2022-02,81,1921800.33
2022-03,160,2132628.34
2022-04,228,7654628.34
2022-05,344,32134868.03
2022-06,36,2676930.62
2022-07,473,12301206.27
2022-08,97,3871331.55
2022-09,69,5252610.11
2022-10,429,14134782.3
2022-11,260,5583414.99
2022-12,569,36034785.96
2023-01,25,2505815.13
2023-02,182,11012322.38
2023-03,241,7473475.6
2023-04,167,6271736.6
2023-05,499,16125020.97
2023-06,230,10659998.53
2023-07,488,16259766.41
2023-08,33,3159804.92
2023-09,135,5810953.04
2023-10,195,9428663.07
2023-11,93,4683734.77
2023-12,198,11973285.83
2024-01,17,777736.15
2024-02,274,12072370.51
2024-03,153,6050101.74
2024-04,444,22625966.11
2024-05,117,7050710.48
2024-06,290,13259297.44
2024-07,147,7400965.19
2024-08,80,2483045.04
2024-09,139,4923321.38
2024-10,390,17734356.89
2024-11,58,4452070.79
2024-12,369,13376110.57
2025-01,16,1285799.76
2025-02,302,16219771.85
2025-03,51,2597103.66
2025-04,164,7189690.17
2025-05,53,2412527.64
2025-06,298,11048915.65
2025-07,392,14897592.22
2025-08,244,9016260.49
2025-09,185,8274364.68
2025-10,196,6109848.52
2025-11,451,13390226.91
2025-12,1239,48209274.17
2026-02,19,3457692.99
2026-03,149,5454802.78
2026-04,269,8895610.83
2026-05,273,13174658.73
2026-06,421,15522226.45
2026-07,106,3441795.78
2026-08,23,424851.32
