month,n_payments,total_eur
2021-08,8,15405.61
2021-09,17,72315.15
2021-10,15,48992.02
2021-11,24,125191.05
2021-12,26,220527.74
2022-01,17,168964.45
2022-02,87,300505.65
2022-03,69,200329.94
2022-04,82,140318.84
2022-05,41,113591.24
2022-06,21,24476.07
2022-07,16,32365.19
2022-08,8,9416.44
2022-09,11,50675.33
2022-10,9,20484.8
2022-11,23,38619.69
2022-12,20,67066.49
2023-01,17,31764.72
2023-02,14,33498.56
2023-03,18,37819.6
2023-04,18,36318.41
2023-05,28,45566.96
2023-06,20,56320.25
2023-07,15,21443.13
2023-08,19,43803.99
2023-09,18,58451.1
2023-10,29,41224.63
2023-11,19,37707.09
2023-12,26,78957.2
2024-01,28,29062.53
2024-02,30,29710.12
2024-03,20,32083.5
2024-04,33,97798.02
2024-05,33,64758.56
2024-06,24,37950.77
2024-07,34,73979.79
2024-08,49,47789.31
2024-09,76,107839.5
2024-10,102,140756.82
2024-11,113,147968.65
2024-12,78,87182.69
2025-01,53,64010.21
2025-02,51,47518.57
2025-03,34,45815.04
2025-04,49,70957.44
2025-05,51,78325.41
2025-06,70,100333.65
2025-07,88,149880.81
2025-08,63,55360.07
2025-09,60,114897.22
2025-10,47,57228.65
2025-11,28,34044.65
2025-12,57,98018.8
2026-01,24,28739.28
2026-02,34,38491.6
2026-03,45,62598.45
2026-04,30,45621.79
2026-05,53,65205.41
2026-06,56,2064892.03
2026-07,83,128067.26
2026-08,20,27958.42
