ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΨΣΠ946907Ρ-332,2021-12-28,ΚΡΑΤΗΣΕΙΣ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
9Τ9Μ46907Ρ-3ΨΤ,2021-12-28,ΑΝΑΔΡΟΜΙΚΑ: 2021,,,,no sponsor block
6ΛΕ946907Ρ-Π4Η,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΑΨΔ46907Ρ-Ν4Κ,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
Ω8ΩΦ46907Ρ-ΔΡ1,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΘ9946907Ρ-0ΔΤ,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
9Η0Ι46907Ρ-ΠΩ1,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
670Μ46907Ρ-Γ8Λ,2021-12-28,ΑΝΑΔΡΟΜΙΚΑ: 2021,,,,no sponsor block
ΩΘ6Δ46907Ρ-Ν0Ε,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
Ψ0Ν646907Ρ-Η9Λ,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΠΠ546907Ρ-Η23,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΖ6Σ46907Ρ-3Μ0,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
6Λ8646907Ρ-77Θ,2021-12-28,ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
91ΛΞ46907Ρ-ΝΞΔ,2021-12-28,2020ΕΠ00510051  5070507/3/ ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
Ω3ΒΤ46907Ρ-Θ1Μ,2021-12-28,2020ΕΠ00510051  5070507/3/ ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
6ΖΣΙ46907Ρ-ΓΕ5,2021-12-28,2020ΕΠ00510051  5070507/3/ ΜΙΣΘΟΔΟΣΙΑ: ΔΕΚΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΡΩΕ46907Ρ-ΕΟΒ,2021-12-28,ΠΡΟΚΑΤΑΒΟΛΗ ΠΑΓΙΑΣ: Β΄ΕΞΑΜΗΝΟ 2021,,,,no sponsor block
6ΠΥ746907Ρ-ΩΕΥ,2021-12-24,ΔΙΚΑΣΤΙΚΗ ΑΠΟΖΗΜΙΩΣΗ ΑΠΟΦ.172/2018 ΤΡΙΜΕΛ. ΔΙΟΙΚΗΤΙΚΟ ΠΡΩΤΟΔΙΚΕΙΟ ΚΟΖΑΝΗΣ,,,,no sponsor block
Ω36546907Ρ-ΓΙ3,2021-12-15,ΣΥΜΠΛΗΡΩΜΑΤΙΚΕΣ ΑΣΦΑΛΙΣΤΙΚΕΣ ΕΙΣΦΟΡΕΣ: ΝΟΕΜΒΡΙΟΥ 2021 - ΦΟΡΟΣ,,,,no sponsor block
ΩΤΖΛ46907Ρ-Ι28,2021-12-21,"ΕΙΔΙΚΗ ΑΠΟΖΗΜΙΩΣΗ 20,00 ΓΙΑ ΤΑ ΕΜΒΟΛΙΑΣΤΙΚΑ ΚΕΝΤΡΑ: ΝΟΕΜΒΡΙΟΥ 2021",,,,no sponsor block
