month,n_payments,total_eur
2021-08,202,1223286.88
2021-09,36,151231.28
2021-10,36,316900.54
2021-11,84,1015414.54
2021-12,208,803736.42
2022-01,153,535134.85
2022-02,101,483554.27
2022-03,189,892132.9
2022-04,53,395182.25
2022-05,44,238793.35
2022-06,222,910525.4
2022-07,23,120392.31
2022-08,138,499727.27
2022-09,51,494355.77
2022-10,115,745188.45
2022-11,192,3521617.07
2022-12,25,468512.46
2023-01,10,113092.46
2023-02,198,801699.75
2023-03,44,435398.04
2023-04,259,1486907.15
2023-05,125,600910.79
2023-06,351,2682081.35
2023-07,56,244800.56
2023-08,15,528035.08
2023-09,21,501592.02
2023-10,94,753195.9
2023-11,26,247037.74
2023-12,48,344617.55
2024-01,188,1779419.88
2024-02,237,1739882.77
2024-03,22,103341.67
2024-04,199,1225248.86
2024-05,187,696024.62
2024-06,282,1782386.05
2024-07,40,100988.32
2024-08,142,504406.79
2024-09,11,1509475.51
2024-10,81,728227.21
2024-11,343,2342719.56
2024-12,71,395270.0
2025-02,165,654810.89
2025-03,289,1546207.03
2025-04,214,1017320.22
2025-05,16,173216.24
2025-06,148,791311.91
2025-07,111,458516.94
2025-08,30,375538.26
2025-09,176,449358.62
2025-10,211,3402208.16
2025-11,360,2212536.66
2025-12,175,1381994.56
2026-01,1,121.23
2026-02,247,2069404.22
2026-03,283,3847307.33
2026-04,86,511561.51
2026-05,220,1040291.54
2026-06,254,32309012149136.29
2026-07,118,583032.19
