month,n_payments,total_eur
2021-08,246,3259092.71
2021-09,297,1106937.07
2021-10,286,2994605.27
2021-11,131,724148.89
2021-12,227,2826596.03
2022-01,2,14131.31
2022-02,43,580930.85
2022-03,372,1976337.33
2022-04,154,933560.02
2022-05,321,2829951.64
2022-06,335,1574939.45
2022-07,210,650698.18
2022-08,131,1089800.32
2022-09,345,2504428.34
2022-10,262,1649253.26
2022-11,435,5407473.78
2022-12,305,2204448.89
2023-01,10,111877.75
2023-02,176,1188474.53
2023-03,250,1394541.93
2023-04,178,1877556.54
2023-05,258,1042619.35
2023-06,244,1710626.03
2023-07,386,6651191.08
2023-08,48,866264.14
2023-09,131,766574.81
2023-10,104,563686.71
2023-11,90,3195067.3
2023-12,105,2004299.33
2024-01,30,369141.1
2024-02,384,2029988.8
2024-03,201,2649480.32
2024-04,368,2400185.55
2024-05,324,1378634.5
2024-06,306,4446224.41
2024-07,59,799104.08
2024-08,34,580162.88
2024-09,238,1311210.85
2024-10,358,3461104.33
2024-11,266,1956882.33
2024-12,217,3283963.72
2025-01,8,91193.02
2025-02,31,557840.75
2025-03,139,861932.53
2025-04,134,1921677.89
2025-05,112,1073563.03
2025-06,506,5387872.31
2025-07,315,2536819.14
2025-08,50,661305.87
2025-09,27,225641.43
2025-10,72,631121.1
2025-11,187,1496080.11
2025-12,1368,11991724.36
2026-01,3,7087.4
2026-02,365,2127966.65
2026-03,126,1184226.9
2026-04,285,1761718.14
2026-05,282,1380867.87
2026-06,367,2261768.01
2026-07,300,1338406.95
2026-08,65,464300.17
