ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
65ΤΓ4690ΒΜ-ΧΗΖ,2021-12-17,ΕΞΑΙΡΕΣΙΜΑ ΚΑΙ ΥΠΕΡΩΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
614Σ4690ΒΜ-ΛΒΙ,2021-12-17,ΕΞΑΙΡΕΣΙΜΑ ΚΑΙ ΥΠΕΡΩΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
616Μ4690ΒΜ-ΖΚ9,2021-12-17,ΕΦΗΜΕΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
9ΔΒΚ4690ΒΜ-ΝΔΚ,2021-12-17,ΕΦΗΜΕΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
Ω5Γ84690ΒΜ-ΝΔ2,2021-12-17,ΕΦΗΜΕΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
6ΑΖΥ4690ΒΜ-ΑΩ1,2021-12-17,ΕΦΗΜΕΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΠ944690ΒΜ-ΓΨΩ,2021-12-17,ΕΦΗΜΕΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΩΙ7Ρ4690ΒΜ-ΚΧΙ,2021-12-17,ΥΠΕΡΩΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
6ΗΓΟ4690ΒΜ-Ι5Λ,2021-12-17,ΥΠΕΡΩΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
Ψ0ΓΠ4690ΒΜ-3Τ3,2021-12-17,ΥΠΕΡΩΡΙΕΣ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
ΨΧ5Ω4690ΒΜ-0ΓΡ,2021-12-17,ΕΞΑΙΡΕΣΙΜΑ ΜΗΝΟΣ ΝΟΕΜΒΡΙΟΥ 2021,,,,no sponsor block
