ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
920Α46906Ι-4Β8,2021-12-21,Έγκριση πληρωμής δαπάνης εφημεριών Επιστημονικού μη ιατρικού προσωπικού 10ος 2021,,,3274.03,anonymous sponsor (empty sponsorAFMName)
9ΤΦ946906Ι-ΘΧ2,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΑΠΑΝΗΣ ΔΕΔΝΑ 11-2021 ΜΕΤΑΠΛΗΡΩΤΕΟΙ Α',,,289.65,anonymous sponsor (empty sponsorAFMName)
6ΘΠ946906Ι-ΣΝΡ,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΑΠΑΝΗΣ ΑΓΩΓΗ ΑΓ2241 21-06-2018 Π.ΣΤ.(ΣΥΝ.18),,,17241.19,anonymous sponsor (empty sponsorAFMName)
ΩΤ5Ε46906Ι-ΛΓΒ,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΑΠΑΝΗΣ ΑΓΩΓΗ ΑΓ4846 3-6-2011 Μ.-Π. Α.,,,13824.39,anonymous sponsor (empty sponsorAFMName)
ΨΣ7Β46906Ι-ΠΞΟ,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΑΠΑΝΗΣ,,,52043.29,anonymous sponsor (empty sponsorAFMName)
ΨΒΑ646906Ι-Β64,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΑΠΑΝΗΣ ΑΓΩΓΗ ΑΓ7040 18-12-2013 Α.Β.(ΣΥΝ.8),,,79039.62,anonymous sponsor (empty sponsorAFMName)
ΨΩΛ646906Ι-Β4Υ,2021-12-21,Έγκριση πληρωμής δαπάνης τακτικών εφημεριών μηνός Νοεμβρίου 2021,,,99557.09,anonymous sponsor (empty sponsorAFMName)
9ΓΖΣ46906Ι-ΠΣΒ,2021-12-21,ΔΙΚΑΣΤΙΚΗ ΔΑΠΑΝΗ ΤΗΣ ΑΡΙΘΜ. 2515/2017 ΑΠΟΦΑΣΗΣ,,,3415.86,anonymous sponsor (empty sponsorAFMName)
ΨΕ9Κ46906Ι-ΟΓΖ,2021-12-21,ΕΓΚΡΙΣΗ ΠΛΗΡΩΜΗΣ ΔΙΚΑΣΤΙΚΗΣ ΔΑΠΑΝΗΣ ΓΙΑ ΤΗΝ ΕΚΤΕΛΕΣΗ ΤΗΣ ΑΡΙΘΜ4159/2019 ΑΠΟΦΑΣΗΣ ΤΟΥ ΔΙΟΙΚΗΤΙΚΟΥ ΠΡΩΤΟΔΙΚΕΙΟΥ ΘΕ/ΝΙΚΗΣ ΤΜΗΝΑ Ζ΄ΜΟΝΟΜΕΛΟΥΣ.,,,37197.88,anonymous sponsor (empty sponsorAFMName)
6Σ3Γ46906Ι-ΠΓΗ,2021-12-21,ΔΙΚΑΣΤΙΚΗ ΔΑΠΑΝΗ ΤΗΣ ΑΡΙΘΜ. 2453/2010 ΑΠΟΦΑΣΗΣ,,,14355.18,anonymous sponsor (empty sponsorAFMName)
