month,n_payments,total_eur
2021-08,349,3357311.24
2021-09,470,6022322.63
2021-10,459,4725952.29
2021-11,569,7487187.3
2021-12,609,6199026.49
2022-01,51,303752.6
2022-02,393,2833757.76
2022-03,400,7200614.19
2022-04,545,4992442.4
2022-05,460,9702837.27
2022-06,296,3706981.12
2022-07,131,1028734.47
2022-08,165,916423.07
2022-09,75,3400778.28
2022-10,283,2607426.68
2022-11,933,11274087.73
2022-12,304,6727891.43
2023-01,53,221128.98
2023-02,394,2647844.35
2023-03,553,6819151.84
2023-04,452,10064646.98
2023-05,649,4352368.54
2023-06,502,7584122.92
2023-07,528,6347419.36
2023-08,420,6438231.13
2023-09,480,4121650.27
2023-10,553,7173172.31
2023-11,402,7099660.21
2023-12,80,2147191.63
2024-01,95,3073391.26
2024-02,603,10820273.82
2024-03,532,5957022.28
2024-04,732,6936066.06
2024-05,450,6692713.56
2024-06,545,6365853.31
2024-07,604,5042181.13
2024-08,257,2348944.95
2024-09,428,2383669.04
2024-10,255,1744523.57
2024-11,175,4923353.84
2024-12,184,3663984.67
2025-01,173,2766509.82
2025-02,562,4736520.74
2025-03,374,3469401.18
2025-04,493,3733668.32
2025-05,613,4705517.87
2025-06,583,4208867.2
2025-07,710,5102572.4
2025-08,467,3037770.76
2025-09,661,4494664.32
2025-10,646,4518891.57
2025-11,775,7200894.35
2025-12,432,5435147.87
2026-01,106,947551.04
2026-02,796,8958929.22
2026-03,804,8181260.59
2026-04,607,4428722.78
2026-05,612,4650173.75
2026-06,537,4122880.89
2026-07,624,13642359.02
2026-08,119,948166.1
