month,n_payments,total_eur
2021-08,328,1490696.02
2021-09,124,236528.87
2021-10,480,1059599.94
2021-11,575,2320307.13
2021-12,158,1011083.85
2022-01,16,83978.74
2022-02,7,112005.78
2022-03,27,146040.86
2022-04,600,1155318.95
2022-05,392,2499372.97
2022-06,24,633086.19
2022-07,315,1606138.11
2022-08,199,581809.34
2022-09,144,1120148.24
2022-10,608,1554443.38
2022-11,288,1078685.1
2022-12,104,1055231.21
2023-01,10,51619.95
2023-02,6,144776.63
2023-03,397,1478761.49
2023-04,249,850602.51
2023-05,724,4122442.13
2023-06,301,684830.71
2023-07,562,3010969.6
2023-08,20,341804.1
2023-09,41,89787.01
2023-10,306,1664782.47
2023-11,233,740401.67
2023-12,201,950756.01
2024-01,13,98594.86
2024-02,413,3065917.88
2024-03,109,583478.86
2024-04,306,2275574.12
2024-05,362,932213.83
2024-06,612,3394328.18
2024-07,302,1934314.6
2024-08,20,136740.58
2024-09,48,232931.54
2024-10,242,637314.41
2024-11,176,768265.72
2024-12,145,1250460.73
2025-01,3,8481.11
2025-02,155,604347.69
2025-03,245,1447468.48
2025-04,694,2475967.64
2025-05,351,1220059.21
2025-06,238,2277591.12
2025-07,218,1193395.27
2025-08,334,1877888.17
2025-09,91,208755.68
2025-10,489,1522636.71
2025-11,80,572255.93
2025-12,448,1298605.76
2026-02,4,62913.19
2026-03,98,735553.36
2026-04,370,1155635.12
2026-05,1182,96906093293037.5
2026-06,222,924362.84
2026-07,63,234930.92
2026-08,226,979837.55
