month,n_payments,total_eur
2021-08,16,180457.33
2021-09,308,1178917.06
2021-10,111,263000.06
2021-11,127,461521.65
2021-12,261,983074.73
2022-01,2,474.3
2022-02,174,614116.94
2022-03,280,1634172.54
2022-04,296,1692684.76
2022-05,354,1031826.64
2022-06,370,1053944.64
2022-07,278,1063936.76
2022-08,251,1123291.38
2022-09,299,1000257.2
2022-10,527,4175659.58
2022-11,127,554398.18
2022-12,70,257092.38
2023-01,6,1239.2
2023-02,197,664686.88
2023-03,240,561013.53
2023-04,341,1364657.18
2023-05,265,2267918.37
2023-06,360,1673611.81
2023-07,551,2667651.0
2023-08,158,970429.89
2023-09,307,1754305.41
2023-10,68,138822.03
2023-11,179,1027055.17
2023-12,136,1135360.29
2024-01,7,114265.45
2024-02,462,3286100.66
2024-03,45,182570.11
2024-04,444,1846691.17
2024-05,107,471480.63
2024-06,310,1428558.61
2024-07,222,1225843.1
2024-08,213,809927.57
2024-09,249,735331.08
2024-10,42,287218.29
2024-11,51,174625.45
2024-12,57,1159086.92
2025-01,3,23029.5
2025-02,307,1104881.74
2025-03,203,820934.88
2025-04,337,1252899.43
2025-05,367,2708279.27
2025-06,361,1337337.23
2025-07,1,3565.0
2025-12,2,3908.8
2026-01,13,268244.37
2026-03,2,7941.81
2026-04,1,3784.85
