ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΩΥΘ7469067-ΡΦΒ,2021-09-07,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,260.4,,0899.01
Ψ69Φ469067-ΗΣΘ,2021-08-19,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,998210454,Α ΘΩΜΑΔΑΚΗΣ ΚΑΙ ΣΙΑ ΕΕ,130.94,,0899.01
6Τ43469067-ΙΧΖ,2021-11-12,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΑΝΑΣΦΑΛΙΣΤΗΣ ΑΣΘΕΝΟΥΣ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,195.3,,0899.01
6ΩΚΨ469067-Ζ9Ω,2021-11-08,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,195.3,,0899.01
6Τ7Θ469067-Β6Σ,2021-10-22,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΕΚΜΙΣΘΩΣΗΣ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
6Η83469067-398,2021-09-17,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
6Σ1Ζ469067-ΝΙΛ,2021-09-16,ΕΚΜΙΣΘΩΣΗ ΦΟΡΗΤΟΥ ΑΝΑΠΝΕΥΣΤΗΡΑ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,1800.03,,0899.01
ΨΠΓΖ469067-0ΒΧ,2021-08-11,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,260.4,,0899.01
Ψ731469067-Ε4Ξ,2021-08-10,ΕΚΜΙΣΘΩΣΗΣ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,390.6,,0899.01
66ΥΥ469067-Σ47,2021-08-10,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
ΩΜΞΒ469067-ΑΡΣ,2022-05-23,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
Ψ1ΣΑ469067-ΥΓΜ,2022-04-18,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
ΨΟ1Κ469067-Ι0Κ,2022-04-15,ΕΚΜΙΣΘΩΣΗ ΦΟΡΗΤΟΥ ΑΝΑΠΝΕΥΣΤΗΡΑ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,998158150,VIVISOL HELLAS ΚΑΤ ΟΙΚΟΝ ΠΕΡΙΘΑΛΨΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,1800.0,,0899.01
6ΧΓΓ469067-ΛΚΗ,2022-04-08,ΕΚΜΙΣΘΩΣΗ ΣΥΜΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
ΨΠΔΑ469067-ΞΜΟ,2022-03-30,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,390.6,,0899.01
9ΟΤΧ469067-Β25,2022-02-04,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,390.6,,0899.01
Ψ668469067-Φ2Σ,2022-01-19,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΑΝΑΣΦΑΛΙΣΤΟΥ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,390.6,,0899.01
63ΚΞ469067-16Ρ,2022-01-19,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΑΝΑΣΦΑΛΙΣΤΟΥ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,390.6,,0899.01
6Κ9Φ469067-Ν6Κ,2022-01-14,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
ΨΡΔΞ469067-4ΦΗ,2022-01-03,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
Ψ4ΦΣ469067-0ΧΥ,2021-12-30,"ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ 19.008,08€ ΜΕ Φ.Π.Α. 24% ΓΙΑ ΤΗΝ ΠΑΡΟΧΗ ΥΠΗΡΕΣΙΩΝ ΤΡΑΠΕΖΩΝ ΑΙΜΑΤΟΣ (ΜΕΤΑΦΟΡΑ ΑΙΜΑΤΟΣ ΚΑΙ ΒΙΟΛΟΓΙΚΩΝ ΔΕΙΓΜΑΤΩΝ) ΓΙΑ ΤΟ ΧΡΟΝΙΚΟ ΔΙΑΣΤΗΜΑ 26-5-2021 ΈΩΣ 10-8-2021 ΚΑΙ ΤΗ ΛΟΓΙΣΤΙΚΗ ΤΑΚΤΟΠΟΙΗΣΗ ΑΥΤΩΝ",999506681,ΜΠΑΙΟΤΡΑΝΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΕΞΕΙΔΙΚΕΥΜΕΝΩΝ ΥΠΗΡΕΣΙΩΝ ΥΓΕΙΑΣ ΕΡΕΥΝΑΣ ΚΑΙ ΜΕΤΑΦΟΡΑΣ,19008.08,,
6Σ2Σ469067-ΗΝΟ,2022-10-18,ΕΚΜΙΣΘΩΣΗ ΣΥΜΠΥΚΝΩΤΗ ΟΞΥΓΟΝΟΥ ΣΕ ΑΝΑΣΦΑΛΙΣΤΗ ΑΣΘΕΝΗ,095717819,ΠΝΟΗ ΚΩΣΤΑΣ ΣΙΣΜΑΝΙΔΗΣ ΕΠΕ,65.1,,0899.01
6ΘΤΛ469067-260,2022-09-07,ΕΚΜΙΣΘΩΣΗ ΦΟΡΗΤΟΥ ΑΝΑΠΝΕΥΣΤΗΡΑ ΣΕ ΑΝΑΣΦΑΛΙΣΤΟ ΑΣΘΕΝΗ,998158150,VIVISOL HELLAS ΚΑΤ ΟΙΚΟΝ ΠΕΡΙΘΑΛΨΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,1800.03,,0899.01
