month,n_payments,total_eur
2021-08,4,847.04
2021-09,3,2125.53
2021-10,1,65.1
2021-11,2,390.6
2021-12,1,19008.08
2022-01,4,911.4
2022-02,1,390.6
2022-03,1,390.6
2022-04,3,1930.2
2022-05,1,65.1
2022-06,9,26909.32
2022-07,2,260.77
2022-08,1,260.4
2022-09,1,1800.03
2022-10,1,65.1
2022-11,3,520.8
2023-01,4,520.8
2023-02,1,390.6
2023-03,2,1865.13
2023-04,1,65.1
2023-05,5,976.5
2023-06,4,2385.93
2023-07,2,390.6
2023-08,2,260.4
2023-09,2,260.4
2023-10,2,253.45
2023-11,6,3339.35
2023-12,2,129.2
2024-01,3,2058.44
2024-02,1,387.62
2024-03,2,383.9
2024-04,7,2638.38
2024-05,5,1025.72
2024-06,4,705.19
2024-07,2,256.43
2024-08,2,576.97
2024-09,3,833.41
2024-10,3,831.18
2024-11,4,1301.11
2025-01,5,637.38
2025-02,7,1338.48
2025-03,3,701.1
2025-04,3,1093.5
2025-05,10,2843.1
2025-06,8,5203.86
2025-07,2,145.8
2025-08,4,1312.2
2025-09,2,510.3
2025-10,4,1312.2
2025-11,3,729.0
2025-12,4,86457.13
2026-01,6,1020.6
2026-02,5,1678.5
2026-03,7,4985.16
2026-04,6,1530.9
2026-05,4,1280.94
2026-06,6,1636.75
2026-07,5,1352.1
2026-08,6,1779.08
