month,n_payments,total_eur
2022-07,235,5055877.15
2022-08,3,32034.38
2022-09,297,5395302.14
2022-10,133,805971.84
2022-11,434,8158092.92
2022-12,584,15411694.61
2023-02,355,4373724.34
2023-03,328,2959194.67
2023-04,360,6115674.88
2023-05,339,3910391.94
2023-06,191,4475123.3
2023-07,463,10000852.09
2023-08,134,1062557.18
2023-09,172,1538843.05
2023-10,328,6683227.36
2023-11,194,1765764.97
2023-12,187,4208184.83
2024-01,214,2635600.07
2024-02,475,8736310.03
2024-03,452,2892648.48
2024-04,276,3796465.57
2024-05,366,4682743.23
2024-06,268,5985757.16
2024-07,8,56439.95
2024-08,29,1190075.87
2024-09,28,2238081.72
2024-10,270,4150888.88
2024-11,498,5334085.45
2024-12,492,19590543.17
2025-01,45,315904.17
2025-02,464,6198855.61
2025-03,121,8238315.62
2025-04,208,2759810.89
2025-05,194,2022255.3
2025-06,423,6429123.48
2025-07,414,16706468.87
2025-08,68,1310544.68
2025-09,413,9114236.09
2025-10,230,2909276.59
2025-11,415,6470703.56
2025-12,330,7136069.64
2026-02,29,741029.76
2026-03,529,5044698.15
2026-04,330,6114294.01
2026-05,276,3493220.29
2026-06,465,14233280.24
2026-07,213,2929731.86
2026-08,204,3145818.13
