ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΡΡΗ2469ΗΔ8-ΔΙΘ,2024-06-13,ΧΕ 2150/2024 ΥΠΟΥΡΓ.ΠΡΟΣΤ.ΤΟΥ ΠΟΛΙΤΗ,090169846,ΥΠΟΥΡΓΕΙΟ ΔΗΜΟΣΙΑΣ ΤΑΞΗΣ ΚΑΙ  ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ,9705.08,,1511
6ΜΒΞ469ΗΔ8-ΔΞ0,2024-06-13,ΧΕ 2114/2024 Γ.Ν.Ν.Θ.Α Η ΣΩΤΗΡΙΑ,999332720,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΝΟΣΗΜΑΤΩΝ ΘΩΡΑΚΟΣ ΑΘΗΝΩΝ Η ΣΩΤΗΡΙΑ,200.0,,0899
Ρ9ΤΓ469ΗΔ8-ΛΚΜ,2024-06-13,ΧΕ 1477/2024 Ε.Π.Α.Α ΑΕ,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,32081.75,,0842
9ΡΗΙ469ΗΔ8-ΒΚΘ,2024-06-13,ΧΕ 1377/2024 Ε.Π.Α.Α ΑΕ,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,37313.74,,0842
96Ω7469ΗΔ8-ΓΩΠ,2024-06-13,ΧΕ 1768/2024 ΕΥΔΑΠ ΑΕ,094079101,ΕΤΑΙΡΙΑ ΥΔΡΕΥΣΕΩΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΕΩΣ ΠΡΩΤΕΥΟΥΣΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,90.0,,0841
6ΥΖΗ469ΗΔ8-5ΤΛ,2024-06-13,ΧΕ 1875/2024 ΕΥΔΑΠ ΑΕ,094079101,ΕΤΑΙΡΙΑ ΥΔΡΕΥΣΕΩΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΕΩΣ ΠΡΩΤΕΥΟΥΣΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,8.0,,0841
Ψ5ΩΤ469ΗΔ8-7Κ7,2024-06-13,ΧΕ 1874/2024 Ε.Π.Α.Α ΑΕ,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,293.48,,0842
9ΛΠΒ469ΗΔ8-Δ1Σ,2024-06-13,ΧΕ 1882/2024 ΟΤΕ ΑΕ,094019245,ΟΡΓΑΝΙΣΜΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΤΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,34.39,,0832
Ρ9Α6469ΗΔ8-Ψ5Δ,2024-06-13,ΧΕ 2051/2024 Ε.Π.Α.Α ΑΕ,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,10880.59,,0842
62Υ7469ΗΔ8-ΗΓΓ,2024-06-13,ΧΕ 1580/2024 ABC FACTORS ΑΕ,094031965,ΒΙΑΝΕΞ ΑΕ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΝΑΥΤΙΛΙΑΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,26838.82,,1312
