month,n_payments,total_eur
2023-02,5,87253.63
2023-03,3,8230.79
2023-04,2,45114.3
2023-05,9,114797.76
2023-06,9,181294.76
2023-07,10,209354.46
2023-08,9,151942.0
2023-09,11,94259.05
2023-10,13,308146.54
2023-11,6,226566.3
2023-12,3,136924.96
2024-01,4,184215.04
2024-02,1,4960.0
2024-03,8,21626.24
2024-04,12,66477.33
2024-05,20,71213.09
2024-06,1,2958.69
2024-07,16,62284.87
2024-08,1,3720.0
2024-09,16,45198.79
2024-10,13,104319.45
2024-11,10,40660.88
2024-12,29,833067.74
2025-02,11,35291.75
2025-03,3,9052.0
2025-04,7,18922.38
2025-05,14,54905.18
2025-06,3,52652.58
2025-07,27,145242.24
2025-08,5,12699.29
2025-09,4,54725.0
2025-10,36,244287.31
2025-11,16,64933.15
2025-12,28,756234.94
2026-02,2,19840.0
2026-03,42,144330.53
2026-04,12,22878.49
2026-05,15,97722.54
2026-06,13,267100.87
2026-07,13,47723.67
2026-08,5,34610.63
