ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
9ΟΧΖ46906Ε-17Ε,2021-12-20,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 142.960,54 ευρώ για το έργο/α: 2020ΕΠ08510128",,,142960.54,anonymous sponsor (empty sponsorAFMName)
6ΣΙ446906Ε-ΒΧΟ,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 7.656,78 ευρώ για το έργο/α: 2020ΕΠ08510128",,,7656.78,anonymous sponsor (empty sponsorAFMName)
65ΡΓ46906Ε-ΦΜ3,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 8.955,61 ευρώ για το έργο/α: 2020ΕΠ08510128",,,8955.61,anonymous sponsor (empty sponsorAFMName)
6ΜΤ446906Ε-ΧΥΨ,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 284,88 ευρώ για το έργο/α: 2020ΕΠ08510128",,,284.88,anonymous sponsor (empty sponsorAFMName)
ΩΗΥ646906Ε-Τ6Ε,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 4.763,08 ευρώ για το έργο/α: 2020ΕΠ08510128",,,4763.08,anonymous sponsor (empty sponsorAFMName)
ΨΧΕ946906Ε-5ΑΝ,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 5.294,05 ευρώ για το έργο/α: 2020ΕΠ08510128",,,5294.05,anonymous sponsor (empty sponsorAFMName)
ΩΦΙΖ46906Ε-6Λ2,2021-12-16,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 284,88 ευρώ για το έργο/α: 2020ΕΠ08510128",,,284.88,anonymous sponsor (empty sponsorAFMName)
ΩΘΨΞ46906Ε-ΡΜΠ,2021-12-03,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 139.265,82 ευρώ για το έργο/α: 2020ΕΠ08510128",,,139265.82,anonymous sponsor (empty sponsorAFMName)
Ψ1ΡΠ46906Ε-ΦΑΤ,2021-12-02,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 284,88 ευρώ για το έργο/α: 2020ΕΠ08510128",,,284.88,anonymous sponsor (empty sponsorAFMName)
ΩΙΛ046906Ε-Α3Α,2021-12-01,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 5.052,89 ευρώ για το έργο/α: 2020ΕΠ08510128",,,5052.89,anonymous sponsor (empty sponsorAFMName)
Ψ9Β746906Ε-ΕΛΖ,2021-12-01,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 6.690,95 ευρώ για το έργο/α: 2020ΕΠ08510128",,,6690.95,anonymous sponsor (empty sponsorAFMName)
ΨΑΓΒ46906Ε-9ΓΛ,2021-11-04,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 147,20 ευρώ για το έργο/α: 2020ΕΠ08510128",,,147.20,anonymous sponsor (empty sponsorAFMName)
6Τ1Ε46906Ε-ΥΕΦ,2021-11-04,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 8.032,03 ευρώ για το έργο/α: 2020ΕΠ08510128",,,8032.03,anonymous sponsor (empty sponsorAFMName)
6ΝΠΥ46906Ε-2ΛΛ,2021-11-04,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 5.427,50 ευρώ για το έργο/α: 2020ΕΠ08510128",,,5427.50,anonymous sponsor (empty sponsorAFMName)
6ΗΓΓ46906Ε-ΝΡΑ,2021-11-04,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 284,88 ευρώ για το έργο/α: 2020ΕΠ08510128",,,284.88,anonymous sponsor (empty sponsorAFMName)
ΨΖΑΒ46906Ε-ΔΙΒ,2021-11-04,"Εκκαθάριση-εντολή πληρωμής της ΣΑ ΕΠ0851 με τίτλο Ε.Π ΠΕΡΙΦΕΡΕΙΑΣ ΑΤΤΙΚΗ 2014-2020 συνολικού ποσού 143.702,84 ευρώ για το έργο/α: 2020ΕΠ08510128",,,143702.84,anonymous sponsor (empty sponsorAFMName)
