month,n_payments,total_eur
2021-08,100,1605707.44
2021-09,217,5250997.3
2021-10,241,1907334.29
2021-11,239,4957329.41
2021-12,230,4151048.12
2022-01,1,35.92
2022-02,273,2813027.42
2022-03,259,7960121.28
2022-04,139,3579381.27
2022-05,451,7135391.02
2022-06,325,4990087.11
2022-07,223,4235884.13
2022-08,206,1827988.91
2022-09,289,3502286.91
2022-10,243,5542268.11
2022-11,525,5468983.91
2022-12,403,6935733.1
2023-01,1,50.96
2023-02,294,2378342.33
2023-03,407,6084181.09
2023-04,251,1981791.78
2023-05,488,3959719.49
2023-06,385,4752842.49
2023-07,397,8749869.16
2023-08,230,1336337.24
2023-09,261,1817906.34
2023-10,226,3433298.54
2023-11,75,3003293.04
2023-12,104,1388396.33
2024-01,1,58.27
2024-02,399,11866724.25
2024-03,412,4617644.29
2024-04,505,7251587.43
2024-05,427,6176999.96
2024-06,533,9831565.22
2024-07,636,4580420.37
2024-08,308,2807939.67
2024-09,246,1423970.14
2024-10,272,2544919.31
2024-11,499,7430080.99
2024-12,71,1013961.59
2025-01,2,125.98
2025-02,631,6174492.73
2025-03,435,4078831.33
2025-04,167,1860402.74
2025-05,444,5933757.63
2025-06,513,6254318.98
2025-07,593,7040836.06
2025-08,427,3823965.42
2025-09,409,3348654.18
2025-10,260,1461001.83
2025-11,382,2999782.26
2025-12,550,5416010.55
2026-01,2,126.76
2026-02,339,3798871.44
2026-03,631,5794525.44
2026-04,277,2816249.9
2026-05,350,3469068.14
2026-06,635,5830879.04
2026-07,372,2951095.5
2026-08,180,3926888.49
