ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΨΩΙΧ4690ΩΝ-Σ1Μ,2021-12-24,ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΕΞΟΦΛΗΣΗΣ ΕΠΙΣΤΡ.ΕΠΙΛΕΞ.ΔΑΠ.15% (ΕΓΚΕΚΡ.ΔΕΛΤΙΑ 1-4),,,,no sponsor block
ΨΠΚΩ4690ΩΝ-9Μ4,2021-12-23,ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΑΠΟΔΟΣΗΣ ΚΡΑΤΗΣΕΩΝ ΧΕΠ ΑΙΜΟΔΟΣΙΑΣ 2021,,,,no sponsor block
9Ω3Ζ4690ΩΝ-94Τ,2021-12-23,ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΔΑΠΑΝΩΝ ΧΕΠ ΑΙΜΟΔΟΣΙΑΣ 2021,,,,no sponsor block
ΩΞΗ54690ΩΝ-Υ4Η,2021-12-22,ΧΡΗΜΑΤΙΚΟ ΕΝΤΑΛΜΑ ΕΞΟΦΛΗΣΗΣ ΕΝΦΙΑ 2021,,,,no sponsor block
ΩΑΩΕ4690ΩΝ-ΧΟ7,2021-12-22,ΧΕ 4040,,,,no sponsor block
ΨΧ5Ν4690ΩΝ-ΑΕΛ,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΥΠΕΡΩΡΙΩΝ 06-07-08/2021,,,,no sponsor block
6ΧΧ44690ΩΝ-ΧΛ2,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΧΕΠ ΑΓΓΕΛΙΑ,,,,no sponsor block
97ΧΣ4690ΩΝ-3Ω4,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΧΕΠ ΞΒΠΕ,,,,no sponsor block
ΨΠ1Ψ4690ΩΝ-ΒΕΙ,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΧΕΠ ΞΒΠΕ,,,,no sponsor block
693Β4690ΩΝ-0ΛΩ,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΔΙΚΑΣΤΙΚΗΣ ΔΑΠΑΝΗΣ,,,,no sponsor block
63Ε64690ΩΝ-Κ05,2021-12-21,ΧΡΗΜΑΤΙΚΑ ΕΝΤΑΛΜΑΤΑ ΟΛΟΗΜΕΡΟ 10/2021,,,,no sponsor block
