month,n_payments,total_eur
2021-08,1,66573.18
2021-09,1,134255.19
2021-10,5,235760.81
2021-11,11,495236.46
2021-12,5,11929.74
2022-04,15,436779.61
2022-05,9,145499.88
2022-07,2,24393.68
2022-08,12,299295.92
2022-11,6,169240.95
2022-12,2,24552.0
2023-04,2,119750.83
2023-05,15,141410.62
2023-06,14,78381.75
2023-07,1,1579.2
2023-08,1,1645.0
2023-09,1,1447.6
2023-10,1,1645.0
2023-11,4,93651.88
2023-12,1,1645.0
2024-02,4,16260.4
2024-03,1,1645.0
2024-04,1,1645.0
2025-02,1,4800.0
