ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
6ΙΜΤ469066-93Ο,2021-12-28,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-59-24/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,509.21,self-referential (payroll/EFKA/FMY remittance)
6ΚΖ9469066-ΛΜΥ,2021-12-28,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-58-24/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,39617.84,self-referential (payroll/EFKA/FMY remittance)
Ψ16Ζ469066-ΛΩ7,2021-12-16,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-57-15/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,3122.42,self-referential (payroll/EFKA/FMY remittance)
63Ρ1469066-ΧΗΚ,2021-12-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-56-07/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,182.14,self-referential (payroll/EFKA/FMY remittance)
ΩΝ3Τ469066-ΚΜΞ,2021-12-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-55-07/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,127.92,self-referential (payroll/EFKA/FMY remittance)
6ΠΚΕ469066-ΑΨΝ,2021-12-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-54-07/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,161.66,self-referential (payroll/EFKA/FMY remittance)
ΩΦΨ1469066-ΜΔ8,2021-12-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-53-07/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,239.48,self-referential (payroll/EFKA/FMY remittance)
6ΡΙΗ469066-Ο66,2021-12-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-52-07/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,128.32,self-referential (payroll/EFKA/FMY remittance)
6ΦΥ1469066-Β9Π,2021-12-10,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 28593-09/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,74913.03,self-referential (payroll/EFKA/FMY remittance)
Ω2ΧΒ469066-ΖΨΥ,2021-12-07,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-51-03/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,3045.85,self-referential (payroll/EFKA/FMY remittance)
ΨΠΦΓ469066-Α90,2021-12-06,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-50-02/12/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,42168.67,self-referential (payroll/EFKA/FMY remittance)
ΩΞΨΞ469066-ΓΩΤ,2021-11-16,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-48-12/11/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,2879.95,self-referential (payroll/EFKA/FMY remittance)
6Σ7Χ469066-Ι34,2021-10-29,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-47-27/10/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,39149.36,self-referential (payroll/EFKA/FMY remittance)
ΩΑΚ5469066-Δ9Μ,2021-10-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 23604-20/10/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,69219.25,self-referential (payroll/EFKA/FMY remittance)
9Ε3Η469066-2ΗΗ,2021-10-13,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-45-11/10/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,3090.02,self-referential (payroll/EFKA/FMY remittance)
6Γ0Ν469066-ΧΒΣ,2021-10-07,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-44-01/10/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,39115.16,self-referential (payroll/EFKA/FMY remittance)
63Ξ8469066-0ΞΨ,2021-09-14,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-42-13/09/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,2488.24,self-referential (payroll/EFKA/FMY remittance)
ΩΤΞΜ469066-Ο0Υ,2021-09-07,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-41-03/09/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,489.73,self-referential (payroll/EFKA/FMY remittance)
6ΛΜΑ469066-22Α,2021-09-07,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-40-03/09/2021,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,42485.60,self-referential (payroll/EFKA/FMY remittance)
6ΕΡ6469066-Χ7Ξ,2022-05-05,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-10-04/05/2022,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,2632.61,self-referential (payroll/EFKA/FMY remittance)
6ΤΗΝ469066-ΙΜ7,2022-05-04,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ B1-9-03/05/2022,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,46261.16,self-referential (payroll/EFKA/FMY remittance)
ΩΥ8Η469066-ΝΛ7,2022-04-12,ΧΕΠ Β΄ΤΡΙΜΗΝΟΥ ΚΑΕ 0899,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,800.00,self-referential (payroll/EFKA/FMY remittance)
ΨΩΟ0469066-2Α2,2022-04-05,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ Β1-7-01/04/2022,996956397,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΛΑΡΙΣΑΣ ΚΟΥΤΛΙΜΠΑΝΕΙΟ ΚΑΙ ΤΡΙΑΝΤΑΦΥΛΛΕΙΟ,35861.64,self-referential (payroll/EFKA/FMY remittance)
