ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
6ΖΧΓ4690ΒΩ-ΜΓ9,2025-09-22,ΑΜΟΙΒΗ ΛΟΙΠΟΥ ΠΡΟΣΩΠΙΚΟΥ ΠΟΥ ΕΡΓΑΣΤΗΚΑΝ ΣΤΑ ΟΛΟΗΜΕΡΑ ΙΑΤΡΕΙΑ ΤΟΝ ΜΗΝΑ ΙΟΥΛΙΟ 2025,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,1530.00,self-referential (payroll/EFKA/FMY remittance)
Ψ4Γ74690ΒΩ-ΓΤΛ,2025-09-22,ΕΦΗΜΕΡΙΕΣ (ΥΠΕΡΒΑΛΛΟΥΣΕΣ) ΙΑΤΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΜΗΝΟΣ ΜΑΪΟΥ 2025,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,30550.40,self-referential (payroll/EFKA/FMY remittance)
9ΤΘΧ4690ΒΩ-Θ1Α,2025-09-22,ΕΦΗΜΕΡΙΕΣ (ΥΠΕΡΒΑΛΛΟΥΣΕΣ) ΙΑΤΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΜΗΝΟΣ ΑΠΡΙΛΙΟΥ 2025,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,34441.54,self-referential (payroll/EFKA/FMY remittance)
Ψ1ΧΠ4690ΒΩ-ΟΧ0,2025-09-22,ΕΦΗΜΕΡΙΕΣ (ΥΠΕΡΒΑΛΛΟΥΣΕΣ) ΙΑΤΡΙΚΟΥ ΕΠΙΚΟΥΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΜΕ ΣΧΕΣΗ ΕΡΓΑΣΙΑΣ ΙΔΟΧ ΜΗΝΟΣ  ΜΑΪΟΥ 2025 «ΕΝΙΣΧΥΣΗ ΤΩΝ ΦΟΡΕΩΝ ΥΓΕΙΑΣ ΜΕ ΕΠΙΚΟΥΡΙΚΟ ΠΡΟΣΩΠΙΚΟ ΓΙΑ ΤΗΝ ΑΝΤΑΠΟΚΡΙΣΗ ΣΤΙΣ ΑΝΑΓΚΕΣ ΛΟΓΩ ΤΗΣ ΕΠΙΔΗΜΙΑΣ COVID-19 ΣΤΗΝ ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ» ΜΕ ΚΩΔΙΚΟ ΟΠΣ 5070510 ΣΤΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ «ΠΕΡΙΦΕΡΕΙΑΚΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΘΕΣΣΑΛΙΑΣ 2014 ΜΕ ΠΑΡΑΤΑΣΗ ΣΥΜΒΑΣΕΩΝ  ΕΩΣ 31/12/2024 ΣΥΜΦΩΝΑ ΜΕ ΤΙΣ ΔΙΑΤΑΞΕΙΣ  ΤΟΥ Ν.5079/2023 (ΦΕΚ 215/22-12-2023/τ.Α΄) ΑΡΘΡΟ 70 ΠΑΡ.,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,849.33,self-referential (payroll/EFKA/FMY remittance)
9ΙΣ24690ΒΩ-9ΞΗ,2025-09-22,ΕΦΗΜΕΡΙΕΣ (ΥΠΕΡΒΑΛΛΟΥΣΕΣ) ΙΑΤΡΙΚΟΥ ΕΠΙΚΟΥΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΜΕ ΣΧΕΣΗ ΕΡΓΑΣΙΑΣ ΙΔΟΧ ΜΗΝΟΣ  ΑΠΡΙΛΙΟΥ 2025 «ΕΝΙΣΧΥΣΗ ΤΩΝ ΦΟΡΕΩΝ ΥΓΕΙΑΣ ΜΕ ΕΠΙΚΟΥΡΙΚΟ ΠΡΟΣΩΠΙΚΟ ΓΙΑ ΤΗΝ ΑΝΤΑΠΟΚΡΙΣΗ ΣΤΙΣ ΑΝΑΓΚΕΣ ΛΟΓΩ ΤΗΣ ΕΠΙΔΗΜΙΑΣ COVID-19 ΣΤΗΝ ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ» ΜΕ ΚΩΔΙΚΟ ΟΠΣ 5070510 ΣΤΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ «ΠΕΡΙΦΕΡΕΙΑΚΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΘΕΣΣΑΛΙΑΣ 2014 ΜΕ ΠΑΡΑΤΑΣΗ ΣΥΜΒΑΣΕΩΝ  ΕΩΣ 31/12/2024 ΣΥΜΦΩΝΑ ΜΕ ΤΙΣ ΔΙΑΤΑΞΕΙΣ  ΤΟΥ Ν.5079/2023 (ΦΕΚ 215/22-12-2023/τ.Α΄) ΑΡΘΡΟ 70 ΠΑΡ.,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,389.46,self-referential (payroll/EFKA/FMY remittance)
9Θ034690ΒΩ-Β5Ω,2025-09-16,: ΤΑΚΤΙΚΕΣ ΑΠΟΔΟΧΕΣ - ΕΦΗΜΕΡΙΕΣ ΙΟΥΛΙΟΥ 2025 ΜΕ ΕΚΔΟΣΗ Α.Π.Υ. ΓΙΑ ΤΗΝ ΚΑΛΥΨΗ ΕΠΙΤΑΚΤΙΚΩΝ ΑΝΑΓΚΩΝ ΠΡΩΙΝΟΥ ΤΑΚΤΙΚΟΥ ΩΡΑΡΙΟΥ ΓΙΑ ΔΩΔΕΚΑ ΜΗΝΕΣ (18/10/2024 ΕΩΣ 17/10/2025) ΣΤΟ ΧΕΙΡΟΥΡΓΙΚΟ ΤΜΗΜΑ,,,,no sponsor block
98734690ΒΩ-Κ9Γ,2025-09-16,ΑΜΟΙΒΗ ΙΑΤΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΠΟΥ ΕΡΓΑΣΤΗΚΑΝ ΣΤΑ ΟΛΟΗΜΕΡΑ ΙΑΤΡΕΙΑ ΤΟΝ ΜΗΝΑ ΙΟΥΛΙΟ 2025,,,,no sponsor block
9Σ574690ΒΩ-7ΦΦ,2025-09-15,ΕΦΗΜΕΡΙΕΣ  ΙΑΤΡΩΝ ΕΣΥ ΜΗΝΟΣ  ΙΟΥΛΙΟΥ 2025,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,101302.76,self-referential (payroll/EFKA/FMY remittance)
9Χ8Ω4690ΒΩ-6ΡΦ,2025-09-15,"ΚΑΤΑΒΟΛΗ ΕΚΤΑΚΤΗΣ ΟΙΚΟΝΟΜΙΚΗΣ ΕΝΙΣΧΥΣΗΣ ΕΦΗΜΕΡΙΩΝ  ΙΑΤΡΩΝ ΕΣΥ ΣΥΜΦΩΝΑ ΜΕ ΤΙΣ ΔΙΑΤΑΞΕΙΣ ΤΩΝ ΑΡΘΡΩΝ 88,89 ΚΑΙ 90 ΤΟΥ Ν.4850/2021 ΦΕΚ 208/τ. Α΄ ΜΗΝΟΣ   ΙΟΥΛΙΟΥ 2025",999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,5000.00,self-referential (payroll/EFKA/FMY remittance)
9ΩΡΖ4690ΒΩ-ΦΦ6,2025-09-15,: ΠΡΟΣΘΕΤΕΣ ΑΜΟΙΒΕΣ ΛΟΙΠΟΥ ΕΠΙΚΟΥΡΙΚΟΥ ΠΡΟΣΩΠΙΚΟΥ ΜΕ ΣΧΕΣΗ ΕΡΓΑΣΙΑΣ ΙΔΟΧ ΜΗΝΟΣ ΙΟΥΛΙΟΥ 2025«ΕΝΙΣΧΥΣΗ ΤΩΝ ΦΟΡΕΩΝ ΥΓΕΙΑΣ ΜΕ ΕΠΙΚΟΥΡΙΚΟ ΠΡΟΣΩΠΙΚΟ ΓΙΑ ΤΗΝ ΑΝΤΑΠΟΚΡΙΣΗ ΣΤΙΣ ΑΝΑΓΚΕΣ ΛΟΓΩ ΤΗΣ ΕΠΙΔΗΜΙΑΣ COVID-19 ΣΤΗΝ ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ» ΜΕ ΚΩΔΙΚΟ ΟΠΣ 5070510 ΣΤΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ «ΠΕΡΙΦΕΡΕΙΑΚΟ ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΠΡΟΓΡΑΜΜΑ ΘΕΣΣΑΛΙΑΣ 2014 ΜΕ ΠΑΡΑΤΑΣΗ ΣΥΜΒΑΣΕΩΝ  ΕΩΣ 31/12/2024 ΣΥΜΦΩΝΑ ΜΕ ΤΙΣ ΔΙΑΤΑΞΕΙΣ  ΤΟΥ Ν.5079/2023 (ΦΕΚ 215/22-12-2023/τ.Α΄) ΑΡΘΡΟ 70 ΠΑΡ,999501452,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΒΟΛΟΥ,223.20,self-referential (payroll/EFKA/FMY remittance)
