ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΨΒΖ34690ΒΓ-1ΘΩ,2021-12-22,ΘΕΜΑ 17ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ (38ο ΕΚΤΑΚΤΟ),,,452799.12,anonymous sponsor (empty sponsorAFMName)
ΩΔΖΗ4690ΒΓ-4ΞΝ,2021-12-15,ΘΕΜΑ 48Β ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΠΑΓΙΑ,,,316.01,anonymous sponsor (empty sponsorAFMName)
Ω3ΑΜ4690ΒΓ-ΖΛΙ,2021-12-09,ΘΕΜΑ 48Α ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ.,,,133546.35,anonymous sponsor (empty sponsorAFMName)
ΨΩΧΚ4690ΒΓ-Κ2Γ,2021-12-01,ΘΕΜΑ 4ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΠΡΑΚΤΙΚΟ 37_ΕΚΤΑΚΤΟ,,,29158.26,anonymous sponsor (empty sponsorAFMName)
6ΩΝ14690ΒΓ-Υ96,2021-11-09,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ Β ΠΡΑΚΤΙΚΟ 32 ΠΑΓΙΑ,,,237.25,anonymous sponsor (empty sponsorAFMName)
6ΧΕΩ4690ΒΓ-ΕΨ8,2021-11-09,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ Α ΠΡΑΚΤΙΚΟ 32ο,,,551087.45,anonymous sponsor (empty sponsorAFMName)
ΩΗΑΛ4690ΒΓ-7ΔΔ,2021-10-19,ΘΕΜΑ 25οΑ ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ-ΠΡΑΚΤΙΚΟ 29,,,170094.28,anonymous sponsor (empty sponsorAFMName)
ΨΒΝ44690ΒΓ-Κ40,2021-10-19,ΘΕΜΑ 25ο Β ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ-ΠΡΑΚΤΙΚΟ 29 (ΠΑΓΙΑ).,,,313.65,anonymous sponsor (empty sponsorAFMName)
ΨΝΩΖ4690ΒΓ-ΕΑΚ,2021-10-06,ΘΕΜΑ 16ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΠΡΑΚΤΙΚΟ 27,,,240843.78,anonymous sponsor (empty sponsorAFMName)
6Η734690ΒΓ-ΓΚ3,2021-09-30,ΘΕΜΑ 26ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ Β,,,347.66,anonymous sponsor (empty sponsorAFMName)
6ΣΚΠ4690ΒΓ-83Π,2021-09-30,ΘΕΜΑ 26ο ΕΚΓΡΙΣΗ ΔΑΠΑΝΩΝ Α,,,439945.67,anonymous sponsor (empty sponsorAFMName)
9ΘΠΔ4690ΒΓ-ΘΛ3,2021-09-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ Α ΟΡΘΗ (A,,,317811.51,anonymous sponsor (empty sponsorAFMName)
9ΨΨΓ4690ΒΓ-ΓΥ8,2021-09-16,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ B (ΠΡΑΚΤΙΚΟ 24),,,442.67,anonymous sponsor (empty sponsorAFMName)
Ψ5ΞΡ4690ΒΓ-Κ7Ι,2022-05-06,ΒΕΒΑΙΩΣΗ ΔΕΣΜΕΥΣΗΣ ΠΙΣΤΩΣΗΣ,,,2556.83,anonymous sponsor (empty sponsorAFMName)
ΨΡΒΜ4690ΒΓ-Ρ10,2022-05-20,ΑΠΟΖΗΜΙΩΣΗ ΤΟΚΩΝ,,,50037.46,anonymous sponsor (empty sponsorAFMName)
9ΧΤ74690ΒΓ-ΕΗ1,2022-05-17,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,,,34907.60,anonymous sponsor (empty sponsorAFMName)
6ΩΙ34690ΒΓ-64Η,2022-05-17,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,,,60435.84,anonymous sponsor (empty sponsorAFMName)
669Η4690ΒΓ-81Α,2022-05-17,ΕΓΚΡΙΣΗΣ ΔΑΠΑΝΗΣ,,,760.30,anonymous sponsor (empty sponsorAFMName)
ΨΟΦΠ4690ΒΓ-4Ω1,2022-05-17,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,,,403909.09,anonymous sponsor (empty sponsorAFMName)
Ψ3ΠΚ4690ΒΓ-ΦΦ1,2022-05-16,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ,,,160059.95,anonymous sponsor (empty sponsorAFMName)
ΩΔΨ24690ΒΓ-Η3Ψ,2022-05-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ,,,513285.09,anonymous sponsor (empty sponsorAFMName)
6Ρ6Λ4690ΒΓ-ΛΙΜ,2022-05-13,ΕΓΚΡΙΣΗ ΔΑΠΑΝΗΣ,,,571.59,anonymous sponsor (empty sponsorAFMName)
6Ψ9Π4690ΒΓ-ΑΩΒ,2022-03-30,ΘΕΜΑ 28Β ΕΚΓΡΙΣΗ ΔΑΠΑΝΩΝ (ΠΡΑΚΤΙΚΟ 7ο) ΠΑΓΙΑ.,,,386.63,anonymous sponsor (empty sponsorAFMName)
ΩΥΠ24690ΒΓ-ΝΗ1,2022-03-30,1.ΘΕΜΑ 28Α ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ (ΠΡΑΚΤΙΚΟ 7ο),,,661056.07,anonymous sponsor (empty sponsorAFMName)
6Κ5Ψ4690ΒΓ-ΤΓ5,2022-03-30,ΘΕΜΑ 36ο Β ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΠΑΓΙΑ,,,598.31,anonymous sponsor (empty sponsorAFMName)
ΨΛΖ84690ΒΓ-Μ68,2022-03-30,ΘΕΜΑ 36ο Α ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ,,,150133.19,anonymous sponsor (empty sponsorAFMName)
664Μ4690ΒΓ-8ΚΗ,2022-02-17,ΘΕΜΑ 34ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ (2ο ΠΡΑΚΤΙΚΟ),,,199771.13,anonymous sponsor (empty sponsorAFMName)
ΩΤΤ64690ΒΓ-ΘΗ1,2022-02-17,ΘΕΜΑ 26ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ,,,200833.88,anonymous sponsor (empty sponsorAFMName)
65Χ94690ΒΓ-ΞΡΦ,2022-01-17,ΘΕΜΑ 1ο ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΠΡΑΚΤΙΚΟ 1ο ΕΚΤΑΚΤΟ,,,107136.00,anonymous sponsor (empty sponsorAFMName)
9ΚΣΚ4690ΒΓ-Υ7Ξ,2022-01-03,ΘΕΜΑ 5Β ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ (ΠΑΓΙΑ),,,661.67,anonymous sponsor (empty sponsorAFMName)
610Ζ4690ΒΓ-87Η,2022-01-03,1.ΘΕΜΑ 5Α ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ,,,527896.55,anonymous sponsor (empty sponsorAFMName)
Ψ5ΨΘ4690ΒΓ-ΜΘΕ,2021-12-31,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 29535/31-12-2021,999157568,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,36572.84,self-referential (payroll/EFKA/FMY remittance)
ΩΘΛΘ4690ΒΓ-ΣΞΒ,2021-12-31,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 29536/31-12-2021,999157568,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,7490.54,self-referential (payroll/EFKA/FMY remittance)
9Ο7Ε4690ΒΓ-1ΞΜ,2021-12-31,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 29537/31-12-2021,999157568,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΚΑΒΑΛΑΣ,2438.78,self-referential (payroll/EFKA/FMY remittance)
