month,n_payments,total_eur
2021-08,47,5675108.99
2021-09,127,10102058.72
2021-10,86,633150.14
2021-11,140,1127551.63
2021-12,185,2264718.45
2022-01,28,354981.45
2022-02,72,704688.36
2022-03,62,367091.06
2022-04,34,1122913.46
2022-05,159,8773427.1
2022-06,14,284248.51
2022-07,53,2408537.24
2022-08,46,927043.84
2022-09,43,19936674.69
2022-10,44,1757469.74
2022-11,60,6474292.68
2022-12,74,1306010.25
2023-01,22,132528.52
2023-02,161,1139915.3
2023-03,60,1173145.99
2023-04,20,238725.89
2023-05,233,2328298.03
2023-06,111,2335061.16
2023-07,181,2742358.93
2023-08,56,1574731.9
2023-09,167,2292288.09
2023-10,167,2314734.47
2023-11,82,2974593.55
2023-12,23,544143.21
2024-02,108,2810345.12
2024-03,102,2129427.72
2024-04,71,2206979.12
2024-05,39,1345376.54
2024-06,57,2145687.38
2024-07,89,1821663.32
2024-08,44,690747.22
2024-09,70,1284547.96
2024-10,91,2069639.61
2024-11,114,1294984.0
2024-12,133,2193428.44
2025-01,8,196022.93
2025-02,118,1086303.78
2025-03,81,1611742.11
2025-04,59,1247840.38
2025-05,78,1700053.66
2025-06,64,3092497.49
2025-07,98,1781798.45
2025-08,76,1156139.54
2025-09,123,1283846.44
2025-10,93,1494150.32
2025-11,106,1348918.56
2025-12,118,1285925.03
2026-02,14,375573.75
2026-03,76,1478885.19
2026-04,62,1573542.02
2026-06,97,3042477.92
2026-07,48,1332199.69
2026-08,2,4100.0
