ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
68Η346904Α-ΨΝ1,2021-12-13,ΑΠΟΦΑΣΗ ΕΓΚΡΙΣΗΣ ΔΑΠΑΝΗΣ ΤΩΝ Χ.Ε. 2015-2035 (Φ.100) ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ,,,215978.90,anonymous sponsor (empty sponsorAFMName)
ΩΙΘΘ46904Α-ΓΧ2,2021-12-28,ΑΠΟΦΑΣΗ ΕΓΚΡΙΣΗΣ ΔΑΠΑΝΗΣ ΤΩΝ Χ.Ε. 2091-2113 (Φ.100) ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ,,,25846.53,anonymous sponsor (empty sponsorAFMName)
ΩΘ0746904Α-6ΦΞ,2021-12-28,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΦΟΡΤΙΣΤΗ ΑΝΑΔΕΥΤΗΡΑ ΑΣΚΩΝ ΑΙΜΑΤΟΣ 12VOLT 1A  AΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, ΜΠΙΚΑΣ Ι.ΑΝΑΣΤΑΣΙΟΣ, ΕΠΙΣΚΕΥΕΣ-ΕΜΠΟΡΙΟ Η/Υ – ΠΕΡΙΦΕΡΙΑΚΑ ΑΝΑΛΩΣΙΜΑ-ΧΑΡΤΙΚΑ-ΗΛΕΚΤΡ. ΥΛΙΚΟ",,,21.08,anonymous sponsor (empty sponsorAFMName)
630546904Α-36Σ,2021-12-28,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΚΑΘΕΤΗΡΩΝ ΑΝΑΡΡΟΦΗΣΗΣ Νο 12 ΜΕ ΒΑΛΒΙΔΑ,,,224.19,anonymous sponsor (empty sponsorAFMName)
6ΦΕΧ46904Α-1ΗΣ,2021-12-28,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΤΟΝΕΡ LEXMARK B 222000 AΠO THN ΕΤΑΙΡΕΙΑ, ΜΠΙΚΑΣ Ι.ΑΝΑΣΤΑΣΙΟΣ, ΕΠΙΣΚΕΥΕΣ-ΕΜΠΟΡΙΟ Η/Υ – ΠΕΡΙΦΕΡΙΑΚΑ ΑΝΑΛΩΣΙΜΑ-ΧΑΡΤΙΚΑ-ΗΛΕΚΤΡ. ΥΛΙΚΟ",,,64.68,anonymous sponsor (empty sponsorAFMName)
ΩΓΞΦ46904Α-Α76,2021-12-28,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΟΥ ΕΝΟΙΚΙΟΥ ΦΙΑΛΩΝ ΟΞΥΓΟΝΟΥ  AΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, LINDE ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ Ε.Π.Ε.",,,3069.00,anonymous sponsor (empty sponsorAFMName)
ΩΦΣΙ46904Α-ΛΣ3,2021-12-21,-ΑΠΟΦΑΣΗ ΕΓΚΡΙΣΗΣ ΔΑΠΑΝΗΣ ΤΩΝ Χ.Ε.  (Φ.) ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ,,,146374.00,anonymous sponsor (empty sponsorAFMName)
65Λ646904Α-ΓΙΛ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ  ΚΛΜΑΤΙΣΤΙΚΟΥ,,,900.00,anonymous sponsor (empty sponsorAFMName)
ΨΚΦ046904Α-Κ86,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΕΙΔΩΝ ΣΟΥΠΕΡ-ΜΑΡΚΕΤ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, ΜΠΟΡΟΔΗΜΟΣ ΚΩΝ. ΣΠΥΡΙΔΩΝ- ΣΟΥΠΕΡ ΜΑΡΚΕΤ",,,65.50,anonymous sponsor (empty sponsorAFMName)
Ψ9Ν146904Α-Ο40,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΕΙΔΩΝ ΠΑΝΤΟΠΩΛΕΙΟΥ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, ΜΑΝΤΖΟΥΚΗ Σ. ΟΥΡΑΝΙΑ, ΠΑΝΤΟΠΩΛΕΙΟ- ΚΑΦΕΚΟΠΤΕΙΟ",,,39.60,anonymous sponsor (empty sponsorAFMName)
ΩΣΡΚ46904Α-46Υ,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΕΙΔΩΝ ΣΟΥΠΕΡ-ΜΑΡΚΕΤ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, ΞΕΝΟΣ Α.Ε., ΓΕΝΙΚΟ ΕΜΠΟΡΙΟ- SUPER MARKET,",,,40.36,anonymous sponsor (empty sponsorAFMName)
6ΙΑΥ46904Α-ΤΘ8,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΧΑΡΤΙΚΩΝ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, “ELEN PACK”-ΠΑΣΧΑΛΗ Γ. ΕΛΕΝΗ",,,10.00,anonymous sponsor (empty sponsorAFMName)
6Σ6646904Α-ΔΔΞ,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ, ΤΖΑΦΟΣ Θ. ΣΠΥΡΟΣ, ΧΡΩΜΑΤΑ-ΣΙΔΗΡΙΚΑ",,,9.00,anonymous sponsor (empty sponsorAFMName)
ΨΕΟΑ46904Α-ΤΧΒ,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΑΠΟ ΤΗΝ ΕΤΑΙΡΕΙΑ,  ΑΦΟΙ Κ. ΜΑΚΡΗ- ΧΡ. ΜΑΚΡΗΣ Ο.Ε.-ΥΔΡΑΥΛΙΚΑ-ΧΡΩΜΑΤΑ",,,27.00,anonymous sponsor (empty sponsorAFMName)
Ψ16Ξ46904Α-Ε6Ω,2021-12-27,"ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ ΓΙΑ ΤΗΝ ΠΛΗΡΩΜΗ ΤΕΛΩΝ ΣΤΗΝ ΕΤΑΙΡΕΙΑ, ΕΓΝΑΤΙΑ ΟΔΟΣ Α.Ε.",,,21.00,anonymous sponsor (empty sponsorAFMName)
