month,n_payments,total_eur
2021-08,10,13912.59
2021-09,19,35229.89
2021-10,10,10284.95
2021-11,3,5185.19
2021-12,26,45455.28
2022-01,4,7394.64
2022-03,6,7280.49
2022-04,23,25222.1
2022-05,19,37168.06
2022-06,25,35672.02
2022-07,8,7752.05
2022-08,5,4647.45
2022-09,26,42897.12
2022-10,3,4321.69
2022-11,29,36275.53
2022-12,58,61208.35
2023-01,23,32074.72
2023-02,10,13266.94
2023-03,16,25377.72
2023-04,13,19153.56
2023-05,19,31160.21
2023-06,25,41723.82
2023-07,11,13805.02
2023-08,17,23627.04
2023-09,11,20919.63
2023-10,18,31204.02
2023-11,13,15692.35
2023-12,23,41048.27
2024-01,32,59365.63
2024-02,31,17477.96
2024-03,31,22445.82
2024-04,17,32536.0
2024-05,23,27178.58
2024-06,24,48065.76
2024-07,35,13790.53
2024-08,5,5014.85
2024-09,25,33707.61
2024-10,12,19228.49
2024-11,4,1270.71
2024-12,21,25917.85
2025-01,18,17689.58
2025-02,18,21877.12
2025-03,32,36274.59
2025-04,4,2020.03
2025-05,2,1859.31
2025-06,3,9527.15
2025-07,8,14692.0
2025-08,2,1173.32
2025-09,7,14735.65
2025-10,13,56248.22
2025-11,6,2695423.1
2025-12,19,104222.99
2026-01,40,123101.78
2026-02,16,28173.03
2026-03,21,41815.39
2026-04,10,38129.38
2026-05,21,22276.71
2026-06,1,2438.42
2026-07,2,25880.0
2026-08,1,13000.0
