ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
66Ζ446906Ω-ΕΟΔ,2021-12-28,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,11160.00,anonymous sponsor (empty sponsorAFMName)
ΨΧΦΕ46906Ω-ΩΣΨ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,14880.00,anonymous sponsor (empty sponsorAFMName)
ΩΝ0Σ46906Ω-Π09,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,11780.00,anonymous sponsor (empty sponsorAFMName)
ΨΩ6Π46906Ω-Ω3Δ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,7936.00,anonymous sponsor (empty sponsorAFMName)
9Ο9Φ46906Ω-Μ29,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,3906.00,anonymous sponsor (empty sponsorAFMName)
ΨΔΦ546906Ω-Ρ48,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,11957.24,anonymous sponsor (empty sponsorAFMName)
ΩΗΔΟ46906Ω-6Ν0,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,2579.20,anonymous sponsor (empty sponsorAFMName)
ΩΔΩΙ46906Ω-Κ6Ψ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,620.00,anonymous sponsor (empty sponsorAFMName)
6ΥΑΑ46906Ω-Υ7Σ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,768.80,anonymous sponsor (empty sponsorAFMName)
6ΠΠ746906Ω-ΚΙΣ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,372.00,anonymous sponsor (empty sponsorAFMName)
6ΜΤ446906Ω-26Α,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,483.60,anonymous sponsor (empty sponsorAFMName)
6ΩΕΜ46906Ω-ΘΡΔ,2021-12-27,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,3042.96,anonymous sponsor (empty sponsorAFMName)
6ΞΒΙ46906Ω-Ι6Λ,2021-12-27,ΑΠΟΦΑΣΗ ΑΡΧΕΙΟΥ,,,3042.96,anonymous sponsor (empty sponsorAFMName)
ΩΖΦΩ46906Ω-3ΟΚ,2021-12-22,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,942.26,anonymous sponsor (empty sponsorAFMName)
ΨΦΟΑ46906Ω-Ξ1Ε,2021-12-21,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,14761.65,anonymous sponsor (empty sponsorAFMName)
ΩΧΦΘ46906Ω-ΑΑΥ,2021-12-17,ΑΠΟΦΑΣΗ ΔΙΟΙΚΗΤΗ,,,14702.37,anonymous sponsor (empty sponsorAFMName)
