month,n_payments,total_eur
2021-08,19,90516.73
2021-09,62,214879.54
2021-10,42,139442.11
2021-11,43,225294.54
2021-12,53,222756.48
2022-01,54,383735.27
2022-02,70,316081.53
2022-03,81,530754.8
2022-04,91,435903.3
2022-05,57,276723.23
2022-06,85,330705.05
2022-07,68,245750.81
2022-08,39,455308.7
2022-09,84,312700.41
2022-10,63,272287.39
2022-11,64,231559.25
2022-12,122,497667.95
2023-01,202,948631.24
2023-02,189,1502638.48
2023-03,232,730106.39
2023-04,130,722533.72
2023-05,199,505940.07
2023-06,161,320440.16
2023-07,155,417367.92
2023-08,198,400653.34
2023-09,196,530766.99
2023-10,178,465746.56
2023-11,197,488027.88
2023-12,182,503096.35
2024-01,272,715654.37
2024-02,265,807160.4
2024-03,218,736532.27
2024-04,287,996308.43
2024-05,160,428866.97
2024-06,182,416730.11
2024-07,200,703064.49
2024-08,81,171192.11
2024-09,117,275487.88
2024-10,201,401141.66
2024-11,219,570805.84
2024-12,125,343191.9
2025-01,230,456921.88
2025-02,288,1244214.87
2025-03,337,1034821.67
2025-04,249,695499.8
2025-05,223,612312.04
2025-06,194,453350.92
2025-07,231,14435360.3
2025-08,68,164330.34
2025-09,83,148962.51
2025-10,103,201031.16
2025-11,166,297537.72
2025-12,83,244278.68
2026-01,40,73222.66
2026-02,122,877822.89
2026-03,167,247599.51
2026-04,90,188263.82
2026-05,64,489326.29
2026-06,87,233286.83
2026-07,79,404349.06
2026-08,31,140160.77
