month,n_payments,total_eur
2021-08,21,80923.51
2021-09,262,1421771.57
2021-10,229,595348.8
2021-11,318,1100264.38
2021-12,112,448510.55
2022-01,3,946.91
2022-02,24,110671.09
2022-03,255,700516.82
2022-04,259,1141994.94
2022-05,285,898699.6
2022-06,275,813532.24
2022-07,201,1994890.81
2022-08,10,24772.08
2022-09,80,785394.45
2022-10,165,540794.63
2022-11,259,1266530.09
2022-12,61,724240.5
2023-01,4,16803.52
2023-02,77,235174.41
2023-03,134,621905.0
2023-04,152,870756.54
2023-05,262,1186330.75
2023-06,200,1615714.31
2023-07,129,676947.64
2023-08,242,968804.5
2023-09,142,742559.16
2023-10,344,1371568.82
2023-11,186,944050.93
2023-12,40,246756.94
2024-01,4,4558.44
2024-02,277,1146506.53
2024-03,68,297561.63
2024-04,104,532437.86
2024-05,133,983434.85
2024-06,154,588618.09
2024-07,214,894434.47
2024-08,41,204913.0
2024-09,141,658200.78
2024-10,139,734669.11
2024-11,232,1200532.76
2024-12,170,1079875.27
2025-01,2,3220.24
2025-02,124,448203.05
2025-03,177,1263252.51
2025-04,133,484075.2
2025-05,54,356745.81
2025-06,226,1671777.68
2025-07,172,747585.03
2025-08,232,1016983.84
2025-09,271,977981.73
2025-10,197,788355.12
2025-11,95,324721.88
2025-12,106,788632.1
2026-01,13,36364.6
2026-02,123,733332.92
2026-03,232,1488258.15
2026-04,151,578251.38
2026-05,230,1193979.46
2026-06,200,653587.31
2026-07,138,589907.73
2026-08,10,15992.38
