ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΨΙ4Λ46904Ν-Λ3Ν,2021-09-20,"ΙΑΣΙΣ ΠΕΡΙΟΔΟΣ ΛΟΓΑΡΙΑΣΜΟΥ 16-01-2021 έως 15-03-2021 , 16-03-2021 έως 15-05-2021 & 16-05-2021 έως 15-07-2021",094019245,ΟΡΓΑΝΙΣΜΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΤΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,10572.07,,0832α
644Π46904Ν-Ζ59,2021-09-20,ΕΥΔΑΠ ΓΙΑ ΤΟΝ ΑΡ.ΜΗΤΡΩΟΥ 0269159 ΑΠΟ 23-04-2021 έως 22-07-2021 ΑΡ.ΜΗΤΡΩΟΥ 0689831  ΑΠΟ 01-07-2021 έως 30-07-2021 ΑΡ.ΜΗΤΡΩΟΥ 0694873 ΑΠΟ 04-06-2021 έως 30-07-2021 ΑΡ.ΜΗΤΡΩΟΥ 0694874 ΑΠΟ 04-06-2021 έως 30-07-2021,094079101,ΕΤΑΙΡΙΑ ΥΔΡΕΥΣΕΩΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΕΩΣ ΠΡΩΤΕΥΟΥΣΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,53.13,,0841α
6ΒΩΞ46904Ν-Δ44,2021-09-20,"ΔΕΗ ΓΙΑ ΤΟ ΑΚΙΝΗΤΟ ΠΑΤΡΙΑΡΧΟΥ Ι. ΜΗΝΟΣ ΙΟΥΝΙΟΥ , ΙΟΥΛΙΟΥ ΚΑΙ ΑΥΓΟΥΣΤΟΥ ΓΙΑ ΤΟ ΕΤΟΣ 2021",090000045,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,868.0,,0842α
ΩΣ6Ο46904Ν-ΨΦΗ,2021-09-20,"Π.ΣΥΖΕΥΞΙΣ ΜΗΝΟΣ ΜΑΙΟΥ , ΙΟΥΛΙΟΥ , ΚΑΙ ΑΥΓΟΥΣΤΟΥ ΓΙΑ ΤΟ ΕΤΟΣ 2021",094019245,ΟΡΓΑΝΙΣΜΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΤΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,2278.29,,0832α
ΩΑΚ946904Ν-ΨΩΘ,2021-09-20,ΦΥΣΙΚΟ ΑΕΡΙΟ ΙΟΥΛΙΟΣ 2021,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,1599.35,,0842α
ΨΙΨΗ46904Ν-4ΣΒ,2021-09-17,ΦΜΥ ΟΑΕΔ ΜΗΝΟΣ ΙΟΥΛΙΟΥ 2021,090003373,ΙΚΑ,268.11,,0561α
6ΧΠΜ46904Ν-ΦΝΩ,2021-11-30,ΔΑΠΑΝΗ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ RAPID TEST,997831899,ΠΡΙΝΤΕΚΟ ΙΑΤΡΙΚΑ ΑΝΑΛΩΣΙΜΑ  ΥΠΗΡΕΣΙΕΣ ΕΚΤΥΠΩΣΕΩΝ ΜΟΝΟΠΡΟΣΩΠΗ  Ε Π Ε,5450.0,33696300-8,1359
ΨΘΕΦ46904Ν-3Μ3,2021-09-01,ΕΥΔΑΠ ΓΙΑ ΤΟΝ  ΑΡ. ΜΗΤΡΩΟΥ 0694873  06-02-2021 έως 03-06-2021 ΑΡ. ΜΗΤΡΩΟΥ 0689831  30-04-2021 έως 31-5-2021  ΑΡ. ΜΗΤΡΩΟΥ 0694874  06-02-2021 έως 03-06-2021 ΑΡ. ΜΗΤΡΩΟΥ 0269159  28-01-2021 έως 22-04-2021 ΑΡ. ΜΗΤΡΩΟΥ 0689831  01-06-2021 έως 30-06-2021,094079101,ΕΤΑΙΡΙΑ ΥΔΡΕΥΣΕΩΣ ΚΑΙ ΑΠΟΧΕΤΕΥΣΕΩΣ ΠΡΩΤΕΥΟΥΣΗΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,83.76,,0841α
99ΑΕ46904Ν-5ΟΟ,2021-09-01,ΦΥΣΙΚΟ ΑΕΡΙΟ ΜΗΝΟΣ ΜΑΙΟΥ ΚΑΙ ΙΟΥΝΙΟΥ 2021,997104531,ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΑΕΡΙΟΥ ΑΤΤΙΚΗΣ ΕΛΛΗΝΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΕΝΕΡΓΕΙΑΣ,3927.87,,0842α
ΨΒ6646904Ν-1Α7,2021-08-31,ΜΙΣΘΟΔΟΤΙΚΕΣ ΕΙΣΦΟΡΕΣ ΕΡΓΑΖΟΜΕΝΩΝ ΣΤΟΝ ΟΑΕΔ ΜΗΝΟΣ ΙΟΥΛΙΟΥ 2021 (Δ.Π. Νο 10/2017),090003373,ΙΚΑ,817.82,,0561α
Ω0ΣΘ46904Ν-6ΗΕ,2021-08-31,ΜΙΣΘΟΔΟΤΙΚΕΣ ΕΙΣΦΟΡΕΣ ΕΡΓΑΖΟΜΕΝΩΝ ΣΤΟΝ ΟΑΕΔ ΜΗΝΟΣ ΙΟΥΛΙΟΥ 2021 (Δ.Π. Νο13/2016),090003373,ΙΚΑ,3561.72,,0561α
6Ι2246904Ν-2ΘΝ,2021-08-23,ΔΕΗ ΜΗΝΟΣ ΜΑΙΟΥ 2021,090000045,ΔΗΜΟΣΙΑ ΕΠΙΧΕΙΡΗΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,23247.0,,0842α
