ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
6ΑΟ84690ΒΒ-ΨΚΜ,2021-12-21,Χ.Ε 1822 Σ.Α/2021 ΕΑΠ,,,,no sponsor block
645Σ4690ΒΒ-ΘΔ7,2021-12-21,Χ.Ε 1821 Σ.Α/2021 ΣΥΡΙΟΠΟΥΛΟΣ ΔΗΜΟΣΘΕΝΗΣ,,,,no sponsor block
Ψ33Α4690ΒΒ-325,2021-12-21,Χ.Ε 1820 Σ.Α/2021 ΧΑΡΟΥ ΕΛΕΝΗ κ.λ.π,,,,no sponsor block
ΨΙΔΗ4690ΒΒ-ΛΚΜ,2021-12-21,Χ.Ε 1819 Σ.Α/2021 ΓΑΡΟΥΦΗ ΣΤΑΜΑΤΙΑ κ.λ.π,,,,no sponsor block
6ΤΦΧ4690ΒΒ-64Ε,2021-12-21,Χ.Ε 1818 Σ.Α/2021 ΖΑΧΑΡΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ κ.λ.π,,,,no sponsor block
6ΔΨ94690ΒΒ-ΠΓΩ,2021-12-17,Χ.Ε 1737 Σ.Α /2021 ΑΠΟΔΟΣΗ ΚΡΑΤΗΣΕΩΝ 11ος 2021,,,,no sponsor block
6Λ5Δ4690ΒΒ-ΝΕ4,2021-12-20,Χ.Ε 1736 Σ.Α /2021 ΑΠΟΔΟΣΗ ΚΡΑΤΗΣΕΩΝ 11ος 2021,,,,no sponsor block
6Λ544690ΒΒ-9ΟΣ,2021-12-20,Χ.Ε 1739 Σ.Α /2021 ΑΠΟΔΟΣΗ ΚΡΑΤΗΣΕΩΝ Χ.Ε 1720-1726,,,,no sponsor block
ΨΤΕΥ4690ΒΒ-ΨΞΣ,2021-12-20,Χ.Ε 1738 Σ.Α /2021 ΑΠΟΔΟΣΗ ΚΡΑΤΗΣΕΩΝ Χ.Ε 1706-1719,,,,no sponsor block
Ω1Λ64690ΒΒ-ΥΗΓ,2021-12-16,Χ.Ε 1722 Σ.Α/2021  ΑΝΔΡΕΑ ΒΑΣΙΛΙΚΗ   κ.λ.π.,,,,no sponsor block
ΩΙΝ14690ΒΒ-ΙΟΓ,2021-12-16,Χ.Ε 1721 Σ.Α/2021  ΑΒΡΑΜΠΟΥ ΣΤΑΜΑΤΙΑ  κ.λ.π.,,,,no sponsor block
61904690ΒΒ-5Υ1,2021-12-16,Χ.Ε 1720 Σ.Α/2021  ΑΘΑΝΑΣΙΟΥ ΑΝΑΣΤΑΣΙΑ κ.λ.π.,,,,no sponsor block
9ΨΒ94690ΒΒ-ΥΡΣ,2021-12-16,Χ.Ε 1726 Σ.Α/2021  ΑΘΑΝΑΣΙΟΥ ΑΝΑΣΤΑΣΙΑ κ.λ.π.,,,,no sponsor block
6ΚΗ44690ΒΒ-806,2021-12-16,Χ.Ε 1725 Σ.Α/2021 ΑΒΡΑΜΠΟΥ ΣΤΑΜΑΤΙΑ  κ.λ.π.,,,,no sponsor block
6ΠΑΖ4690ΒΒ-ΨΙΒ,2021-12-16,Χ.Ε 1724 Σ.Α/2021 ΓΙΑΝΝΟΥΛΗ ΠΑΝΑΓΙΩΤΑ κ.λ.π.,,,,no sponsor block
994Β4690ΒΒ-Γ86,2021-12-16,Χ.Ε 1723 Σ.Α/2021 ΒΑΙΤΣΗ ΑΝΤΩΝΙΑ κ.λ.π.,,,,no sponsor block
ΩΘ3Ω4690ΒΒ-ΙΚ3,2021-12-16,Χ.Ε 1719 Σ.Α/2021 ΒΡΕΤΤΟΣ ΚΩΝ/ΝΟΣ  κ.λ.π,,,,no sponsor block
9Β8Δ4690ΒΒ-ΘΧΨ,2021-12-16,Χ.Ε 1718 Σ.Α/2021 ΑΝΤΟΝΙ ΔΗΜΗΤΡΑ κ.λ.π,,,,no sponsor block
6ΘΕΣ4690ΒΒ-3ΥΤ,2021-12-16,Χ.Ε 1717 Σ.Α/2021 ΠΑΠΑΧΡΙΣΤΟΦΟΡΟΥ ΠΑΝΑΓΙΩΤΑ    κ.λ.π,,,,no sponsor block
9Ω214690ΒΒ-Ρ4Θ,2021-12-16,Χ.Ε 1716 Σ.Α/2021 ΑΝΔΡΙΚΟΥ ΕΛΕΝΗ   κ.λ.π,,,,no sponsor block
6ΟΒΩ4690ΒΒ-ΚΗΑ,2021-12-16,Χ.Ε 1715 Σ.Α/2021 ΑΜΠΕΛΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ   κ.λ.π,,,,no sponsor block
6ΘΓΦ4690ΒΒ-4ΞΠ,2021-12-16,Χ.Ε 1714 Σ.Α/2021 ΒΑΓΙΑ ΠΑΡΑΣΚΕΥΗ  κ.λ.π,,,,no sponsor block
ΨΣΗΩ4690ΒΒ-Ρ7Λ,2021-12-16,Χ.Ε 1713 Σ.Α/2021 ΑΘΑΝΑΣΙΟΥ ΕΛΕΝΗ κ.λ.π,,,,no sponsor block
67ΗΥ4690ΒΒ-ΚΡΤ,2021-12-15,Χ.Ε 1706 Σ.Α/2021 ΒΑΓΙΑ ΠΑΡΑΣΚΕΥΗ   κ.λ.π.,,,,no sponsor block
ΩΔ464690ΒΒ-Φ86,2021-12-15,Χ.Ε 1707 Σ.Α/2021 ΑΜΠΕΛΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ   κ.λ.π.,,,,no sponsor block
60ΠΧ4690ΒΒ-Ι48,2021-12-15,Χ.Ε 1708 Σ.Α/2021 ΑΝΔΡΙΚΟΥ ΕΛΕΝΗ  κ.λ.π.,,,,no sponsor block
6ΒΓΞ4690ΒΒ-Ε7Δ,2021-12-15,Χ.Ε 1709 Σ.Α/2021 ΚΑΡΑΓΕΩΡΓΟΣ ΔΗΜΗΤΡΙΟΣ  κ.λ.π.,,,,no sponsor block
64174690ΒΒ-3ΥΞ,2021-12-15,Χ.Ε 1710 Σ.Α/2021 ΤΣΑΚΑΝΙΚΑΣ ΓΕΩΡΓΙΟΣ  κ.λ.π.,,,,no sponsor block
60Ξ84690ΒΒ-Φ7Ζ,2021-12-15,Χ.Ε 1711 Σ.Α/2021 ΒΡΕΤΤΟΣ ΚΩΝ/ΝΟΣ  κ.λ.π.,,,,no sponsor block
ΨΛΦ74690ΒΒ-ΓΓ5,2021-12-15,Χ.Ε 1712 Σ.Α/2021 ΑΘΑΝΑΣΙΟΥ ΕΛΕΝΗ κ.λ.π.,,,,no sponsor block
Ψ6ΑΗ4690ΒΒ-ΟΚ1,2021-12-14,Χ.Ε 1690 Σ.Α./2021 ΒΑΓΙΑΣ ΔΗΜΗΤΡΙΟΣ κ.λ.π,,,,no sponsor block
ΩΙΖΞ4690ΒΒ-ΚΣΠ,2021-12-08,Χ.Ε 1684 Σ.Α/2021 ΕΑΠ,,,,no sponsor block
ΨΡΥ14690ΒΒ-1Υ7,2021-12-08,Χ.Ε 1682 Σ.Α/2021 ΕΑΠ,,,,no sponsor block
Ω3ΞΜ4690ΒΒ-Ρ6Ρ,2021-12-08,Χ.Ε 1683 Σ.Α/2021 ΕΑΠ,,,,no sponsor block
96ΞΘ4690ΒΒ-3ΛΞ,2021-12-07,Χ.Ε 1675 Σ.Α/2021  ΛΑΜΠΡΟΣ ΜΑΡΙΟΣ κ.λ.π.,,,,no sponsor block
6Η0Β4690ΒΒ-Μ9Ο,2021-12-07,Χ.Ε 1674 Σ.Α/2021 ΒΡΕΤΤΟΣ ΚΩΝ/ΝΟΣ κ.λ.π,,,,no sponsor block
ΩΞΝΝ4690ΒΒ-ΗΕ2,2021-12-07,Χ.Ε 1673 Σ.Α/2021 ΑΝΔΡΙΚΟΥ ΕΛΕΝΗ κ.λ.π,,,,no sponsor block
Ω0ΚΤ4690ΒΒ-ΘΜΘ,2021-12-07,Χ.Ε 1672 Σ.Α/2021 ΒΟΥΛΙΣΤΙΩΤΗ ΑΙΚΑΤΕΡΙΝΗ κ.λ.π.,,,,no sponsor block
ΨΙΓΨ4690ΒΒ-Ω4Ξ,2021-12-07,Χ.Ε1671 Σ.Α/2021 ΒΑΓΙΑ ΠΑΡΑΣΚΕΥΗ κ.λ.π,,,,no sponsor block
661Ι4690ΒΒ-65Π,2021-12-03,Χ.Ε 1668 Σ.Α/2021 ΚΩΤΣΗΣ ΑΛΕΞΑΝΔΡΟΣ  κ.λ.π,,,,no sponsor block
6ΛΘΚ4690ΒΒ-ΗΡΡ,2021-12-03,Χ.Ε 1667 Σ.Α/2021 ΑΘΑΝΑΣΙΟΥ ΕΛΕΝΗ κ.λ.π,,,,no sponsor block
6Η114690ΒΒ-ΡΓΙ,2021-12-03,Χ.Ε 1666 Σ.Α./2021 ΚΑΤΕΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,,,,no sponsor block
6ΠΩΞ4690ΒΒ-8ΨΝ,2021-12-03,Χ.Ε 1665 Σ.Α./2021 ΖΙΩΡΗΣ ΝΙΚΟΛΑΟΣ,,,,no sponsor block
Ψ9Κ64690ΒΒ-ΧΚ2,2021-12-03,Χ.Ε 1664 Σ.Α./2021 ΧΑΛΙΚΙΑΣ ΕΥΑΓΓΕΛΟΣ,,,,no sponsor block
6Β0Λ4690ΒΒ-ΕΕ2,2021-12-03,Χ.Ε 1662 Σ.Α/2021 ΤΣΑΤΣΑΡΩΝΗ  ΜΑΡΙΑ,,,,no sponsor block
ΩΞΒΝ4690ΒΒ-ΙΧ4,2021-12-03,Χ.Ε 1661 Σ.Α/2021 ΓΙΑΝΝΟΥΛΗ ΠΑΝΑΓΙΩΤΑ,,,,no sponsor block
Ψ44Μ4690ΒΒ-ΝΕΜ,2021-12-03,Χ.Ε 1660 Σ.Α/2021 ΓΕΙΤΣΙΔΗΣ ΛΑΖΑΡΟΣ  κ.λ.π,,,,no sponsor block
6ΓΦΝ4690ΒΒ-ΕΒΡ,2021-12-03,Χ.Ε 1659 Σ.Α/2021 ΔΑΔΑ ΓΙΑΣΙΜΩ κ.λ.π,,,,no sponsor block
61ΔΤ4690ΒΒ-ΝΨ2,2021-12-03,Χ.Ε 1658 Σ.Α/2021 ΝΤΕΤΣΙΚΑ ΚΩΝΣΤΑΝΤΙΝΑ κ.λ.π,,,,no sponsor block
ΨΤΔΓ4690ΒΒ-ΣΤ6,2021-12-03,Χ.Ε 1657 Σ.Α/2021 ΤΣΟΥΛΑ ΕΛΕΝΗ  ΚΥΡΙΑΚΗ,,,,no sponsor block
6ΩΗΡ4690ΒΒ-2Ρ0,2021-11-30,Χ.Ε 1650 Σ.Α/2021 ΟΑΕΔ,,,,no sponsor block
6ΣΓΘ4690ΒΒ-74Υ,2021-11-30,Χ.Ε 1649 Σ.Α./2021 ΔΗΜΗΤΣΑΣ ΝΙΚΟΛΑΟΣ,,,,no sponsor block
6ΜΨΔ4690ΒΒ-Υ0Δ,2021-11-30,Χ.Ε 1648 Σ.Α./2021 ΧΑΛΙΚΙΑΣ ΕΥΑΓΓΕΛΟΣ,,,,no sponsor block
6ΠΙ24690ΒΒ-Ρ1Τ,2021-11-30,Χ.Ε 1647 Σ.Α./2021 ΖΙΩΡΗΣ ΝΙΚΟΛΑΟΣ,,,,no sponsor block
ΩΗΥΥ4690ΒΒ-0ΝΑ,2021-11-30,Χ.Ε 1646 Σ.Α./2021 ΚΑΤΕΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,,,,no sponsor block
