month,n_payments,total_eur
2021-08,110,270210.54
2021-09,67,219543.8
2021-10,26,39459.45
2021-11,77,147232.62
2021-12,143,1624492.4
2022-01,23,58809.88
2022-02,42,152318.46
2022-03,157,775422.04
2022-04,115,634065.67
2022-05,229,4835253.08
2022-06,243,1527284.66
2022-07,191,938788.68
2022-08,399,2695210.42
2022-09,151,1708276.38
2022-10,216,2052554.5
2022-11,290,3286601.64
2022-12,71,414208.26
2023-02,36,418262.75
2023-03,376,5308412.54
2023-04,241,4091826.09
2023-05,312,2604317.62
2023-06,231,1897839.32
2023-07,148,678791.95
2023-08,115,305832.8
2023-09,100,527537.68
2023-10,162,412170.33
2023-11,157,551514.09
2023-12,24,128986.75
2024-01,56,444060.2
2024-02,272,1750222.06
2024-03,188,687078.91
2024-04,340,1505096.77
2024-05,135,943300.8
2024-06,251,1922813.59
2024-07,243,969271.24
2024-08,69,212464.16
2024-09,53,335210.67
2024-10,46,223576.97
2024-11,37,378556.73
2024-12,49,240390.39
2025-01,80,221547.92
2025-02,289,2062950.43
2025-03,126,721431.75
2025-04,207,1084411.0
2025-05,276,1386046.07
2025-06,168,1187060.63
2025-07,212,1050953.99
2025-08,176,628926.41
2025-09,132,715674.55
2025-10,203,8690849.15
2025-11,195,1056668.71
2025-12,207,1195368.47
2026-02,99,367744.85
2026-03,259,1046664.55
2026-04,141,663524.97
2026-05,231,988184.78
2026-06,272,1014182.34
2026-07,164,583326.26
2026-08,183,878459.36
