ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΩΥ7Φ46907Κ-ΤΛΣ,2021-12-29,ΧΕ 1819/21,,,2888.44,anonymous sponsor (empty sponsorAFMName)
ΨΛΤΓ46907Κ-Α34,2021-12-29,ΧΕ 1831/21,,,2700.00,anonymous sponsor (empty sponsorAFMName)
ΨΨΞ446907Κ-ΟΞ5,2021-12-29,ΧΕ 1832/21,,,811.85,anonymous sponsor (empty sponsorAFMName)
6Β8Γ46907Κ-ΨΜΦ,2021-12-29,ΧΕ 1820/21,,,2005.51,anonymous sponsor (empty sponsorAFMName)
6Ω5Ε46907Κ-ΗΩΘ,2021-12-29,ΧΕ 1829,,,3043.97,anonymous sponsor (empty sponsorAFMName)
ΨΚΖΣ46907Κ-ΥΗΧ,2021-12-29,ΧΕ 1830/21,,,150139.48,anonymous sponsor (empty sponsorAFMName)
Ω2ΠΝ46907Κ-0ΗΚ,2021-12-29,ΧΕ 1818/21,,,22747.98,anonymous sponsor (empty sponsorAFMName)
6Ψ8Ρ46907Κ-ΩΑΜ,2021-12-28,ΧΕ 1836/21,,,2847.76,anonymous sponsor (empty sponsorAFMName)
9Δ5146907Κ-ΔΒΡ,2021-12-28,ΧΕ 1835/21,,,2599.00,anonymous sponsor (empty sponsorAFMName)
ΩΥΓΩ46907Κ-ΥΦΠ,2021-12-28,ΧΕ 1834/21,,,1726.22,anonymous sponsor (empty sponsorAFMName)
ΨΑ8Ν46907Κ-ΦΥΑ,2021-12-28,ΧΕ 1833/21,,,37809.97,anonymous sponsor (empty sponsorAFMName)
ΨΞΝΧ46907Κ-0Φ0,2021-12-27,ΧΕ 1817,,,122.03,anonymous sponsor (empty sponsorAFMName)
Ψ9Τ346907Κ-ΙΞΥ,2021-12-01,ΧΕ 1595/21,,,37341.40,anonymous sponsor (empty sponsorAFMName)
6ΔΜ846907Κ-6ΗΕ,2021-12-01,ΧΕ 1592/21,,,2613.12,anonymous sponsor (empty sponsorAFMName)
Ω09Υ46907Κ-Λ0Δ,2021-12-01,ΧΕ 1591/21,,,1855.20,anonymous sponsor (empty sponsorAFMName)
ΨΒΘ246907Κ-0Χ4,2021-12-01,ΧΕ 1590/21,,,3324.81,anonymous sponsor (empty sponsorAFMName)
ΨΥΗΑ46907Κ-Σ0Ν,2021-11-30,ΧΕ 1589/21,,,2042.46,anonymous sponsor (empty sponsorAFMName)
ΨΠΠΓ46907Κ-Η3Τ,2021-11-30,ΧΕ 1588/21,,,14965.21,anonymous sponsor (empty sponsorAFMName)
6ΣΞΛ46907Κ-ΥΦΑ,2021-11-30,ΧΕ 1587/21,,,997.90,anonymous sponsor (empty sponsorAFMName)
ΨΗΟΦ46907Κ-ΑΧΝ,2021-11-30,ΧΕ 1586/21,,,151410.16,anonymous sponsor (empty sponsorAFMName)
ΨΔΔ446907Κ-94Ε,2021-11-30,ΧΕ 1585/21,,,488.06,anonymous sponsor (empty sponsorAFMName)
62Ω346907Κ-ΧΡΦ,2021-11-30,ΧΕ 1584/21,,,2895.58,anonymous sponsor (empty sponsorAFMName)
ΨΙ2Ξ46907Κ-ΕΗΗ,2021-11-30,ΧΕ 1583/21,,,1537.40,anonymous sponsor (empty sponsorAFMName)
64ΜΝ46907Κ-Ν3Ω,2021-11-30,ΧΕ 1582,,,3267.39,anonymous sponsor (empty sponsorAFMName)
693Φ46907Κ-Ζ0Φ,2021-11-30,ΧΕ 1581/21,,,29022.29,anonymous sponsor (empty sponsorAFMName)
6ΚΗ646907Κ-Υ90,2021-11-30,ΧΕ 1580/21,,,640.00,anonymous sponsor (empty sponsorAFMName)
ΩΞΧ146907Κ-Υ63,2021-11-30,ΧΕ 1579/21,,,1890.00,anonymous sponsor (empty sponsorAFMName)
6ΥΡΑ46907Κ-ΚΜΓ,2021-11-02,XE 1407,,,36317.69,anonymous sponsor (empty sponsorAFMName)
ΨΜΕΧ46907Κ-3ΡΝ,2021-11-02,ΧΕ 1419/21,,,85.78,anonymous sponsor (empty sponsorAFMName)
Ω21Β46907Κ-ΛΡΔ,2021-10-29,ΧΕ1403/21,,,10492.21,anonymous sponsor (empty sponsorAFMName)
6ΨΗΦ46907Κ-7Σ8,2021-10-29,ΧΕ 1402/21,,,19358.66,anonymous sponsor (empty sponsorAFMName)
ΩΑΤΟ46907Κ-0Θ8,2021-10-29,ΧΕ 1401,,,1306.56,anonymous sponsor (empty sponsorAFMName)
Ψ1Ρ946907Κ-5ΛΘ,2021-10-29,1400,,,1070.93,anonymous sponsor (empty sponsorAFMName)
ΨΗΖΜ46907Κ-ΑΒΞ,2021-10-29,1399,,,856.29,anonymous sponsor (empty sponsorAFMName)
ΨΩΕΒ46907Κ-ΔΣΗ,2021-10-29,1398,,,145968.51,anonymous sponsor (empty sponsorAFMName)
6ΥΧΕ46907Κ-ΚΑΛ,2021-10-29,1397,,,2026.70,anonymous sponsor (empty sponsorAFMName)
6ΕΝ946907Κ-Φ56,2021-10-29,1395,,,1518.65,anonymous sponsor (empty sponsorAFMName)
Ψ6Α646907Κ-ΛΔΘ,2021-10-29,XE 1392,,,3296.50,anonymous sponsor (empty sponsorAFMName)
6Ι4Α46907Κ-ΟΦΔ,2021-10-29,1391,,,2559126.00,anonymous sponsor (empty sponsorAFMName)
6ΔΥΘ46907Κ-Τ5Φ,2021-10-29,ΧΕ 1406/2021,,,2613.12,anonymous sponsor (empty sponsorAFMName)
ΨΥΩΣ46907Κ-ΝΟΚ,2021-10-29,ΧΕ 1405/21,,,1603.34,anonymous sponsor (empty sponsorAFMName)
6Ω2Δ46907Κ-ΩΙΔ,2021-10-29,ΧΕ 1404,,,2928.70,anonymous sponsor (empty sponsorAFMName)
ΨΙΧΑ46907Κ-ΣΔΣ,2021-10-29,ΧΕ 1390/21,,,111.53,anonymous sponsor (empty sponsorAFMName)
66ΤΖ46907Κ-1ΝΨ,2021-10-15,ΟΡΘΗ ΕΠΑΝΑΚΟΙΝΟΠΟΙΗΣΗ ΛΟΓΩ ΑΔΥΝΑΜΙΑΣ ΤΟΥ ΔΙΑΥΓΕΙΑ,,,14326.39,anonymous sponsor (empty sponsorAFMName)
ΨΚΑΝ46907Κ-80Ζ,2021-09-27,ΧΕ 1179,,,37411.21,anonymous sponsor (empty sponsorAFMName)
ΨΧ5Ρ46907Κ-29Β,2021-09-27,ΧΕ 1244,,,3014.22,anonymous sponsor (empty sponsorAFMName)
ΩΦΠΨ46907Κ-ΖΘΦ,2021-09-27,ΧΕ 1243,,,769.15,anonymous sponsor (empty sponsorAFMName)
ΨΟΙ046907Κ-ΙΔ5,2021-09-27,ΧΕ 1242,,,3414.13,anonymous sponsor (empty sponsorAFMName)
ΨΦΞΗ46907Κ-ΠΘ9,2021-09-27,ΧΕ 1241,,,150285.60,anonymous sponsor (empty sponsorAFMName)
61ΦΜ46907Κ-ΚΥΓ,2021-09-27,ΧΕ 1240,,,1674.62,anonymous sponsor (empty sponsorAFMName)
Ψ6ΒΚ46907Κ-ΦΕ4,2021-09-27,ΧΕ 1239,,,2683.06,anonymous sponsor (empty sponsorAFMName)
Ψ6ΩΗ46907Κ-0ΙΩ,2021-09-27,ΧΕ 1238,,,3947.64,anonymous sponsor (empty sponsorAFMName)
650Η46907Κ-Α9Ν,2021-09-27,ΧΕ 1237,,,26822.34,anonymous sponsor (empty sponsorAFMName)
6ΤΜΙ46907Κ-ΛΦΣ,2021-09-27,ΧΕ 1236,,,191.81,anonymous sponsor (empty sponsorAFMName)
64Ν646907Κ-Ρ4Ν,2021-09-01,ΧΕ 1110/21,,,31946.64,anonymous sponsor (empty sponsorAFMName)
ΩΜ1546907Κ-0ΚΕ,2021-08-31,ΧΕ 1101/21,,,769.15,anonymous sponsor (empty sponsorAFMName)
6ΠΠ046907Κ-ΜΧΕ,2021-08-31,ΧΕ 1100/21,,,2710.16,anonymous sponsor (empty sponsorAFMName)
