ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
65Ο646907Κ-9ΜΓ,2021-10-25,TEICOPLANIN P.SV.INJ.F 400MG/VIAL BT x 1 VIAL + 1AMP x 3 ML SOLVENT,094031965,ΒΙΑΝΕΞ ΑΕ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΝΑΥΤΙΛΙΑΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,2647.83,33690000-3,1312
9Ε4Θ46907Κ-Ξ4Υ,2021-12-22,NORADREN C/S.SOL.IN 8MG/4ML BΤX50 AMPSX4 ML,094041553,DEMO ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΩΝ,2684.46,33690000-3,1312
6ΚΥ246907Κ-2ΑΡ,2021-12-22,V PROTECT 75%(V/V) 2-PROPANOL BOTTLEx5000ML (WHO FORMULATION II),801194975,CM COMMERCIAL ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,1113.0,33690000-3,1312
ΨΝΣΑ46907Κ-Ρ4Ψ,2021-12-22,V PROTECT 75%(V/V) 2-PROPANOL BOTTLEx1000ML (WHO FORMULATION II),801194975,CM COMMERCIAL ΙΔΙΩΤΙΚΗ ΚΕΦΑΛΑΙΟΥΧΙΚΗ ΕΤΑΙΡΕΙΑ,2279.42,33690000-3,1312
ΨΜ6Ε46907Κ-0ΦΚ,2021-12-21,XARELTO F,094056437,BAYER ΕΛΛΑΣ ΑΒΕΕ,521.15,33690000-3,1312
6Β3Τ46907Κ-ΖΩΒ,2021-12-20,REMSIMA PD.C.SO.IN 100MG/VIAL BTx2 VIALS,094031965,ΒΙΑΝΕΞ ΑΕ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΝΑΥΤΙΛΙΑΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,5113.81,33690000-3,1312
634946907Κ-ΟΒΘ,2021-12-20,TECENTRIQ C/S.SOL.IN 1200MG/VIAL (20ML) 1 VIAL x 20ML,094159555,ROCHE ΕΛΛΑΣ ΑΕ,7116.59,33690000-3,1312
695Λ46907Κ-79Ν,2021-12-20,BAVENCIO C/S.SOL.IN 20MG/ML BTx1 VIAL x 10ML,095052971,MERCK ΕΜΠΟΡΙΚΗ ΒΙΟΜΗΧΑΝΙΚΗ ΦΑΡΜΑΚΕΥΤΙΚΗ ΧΗΜΙΚΗ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,2988.57,33690000-3,1312
6ΘΔΓ46907Κ-3ΦΒ,2021-12-20,ENHERTU PD.CS.SOL.INF 100MG/VIAL BTx1VIAL,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,6584.51,33690000-3,1312
Ω0ΛΠ46907Κ-ΑΞΔ,2021-12-15,ACTILYSE CATHFLO PD.I.S.INF 2MG/VIAL BTx5VIALS,094140021,ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΠΑΡΑΓΩΓΗΣ ΧΗΜΙΚΩΝ ΚΑΙ ΦΑΡΜΑΚΕΥΤΙΚΩΝ ΠΡΟΪΟΝΤΩΝ BOEHRINGER INGELHEIM ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΕ,2141.43,33690000-3,1312
ΨΠΥΥ46907Κ-ΧΧΗ,2021-12-15,ENHERTU PD.CS.SOL.INF 100MG/VIAL BTx1VIAL,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,4389.67,33690000-3,1312
Ω15Ν46907Κ-Χ8Π,2021-12-15,ENHERTU PD.CS.SOL.INF 100MG/VIAL BTx1VIAL,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,13169.02,33690000-3,1312
6ΔΤΒ46907Κ-ΧΡΩ,2021-12-14,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx24ML,094002423,ΜΠΡΙΣΤΟΛ ΜΑΓΙΕΡΣ ΣΚΟΥΙΜΠ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΩΝ ΚΑΛΛΥΝΤΙΚΩΝ ΚΑΙ ΚΑΤΑΝΑΛΩΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,13399.65,33690000-3,1312
9Ω2Π46907Κ-ΤΣΖ,2021-12-14,OPDIVO C/S.SOL.IN 10MG/ML BTx1VIALx24ML,094002423,ΜΠΡΙΣΤΟΛ ΜΑΓΙΕΡΣ ΣΚΟΥΙΜΠ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΚΑΙ ΒΙΟΜΗΧΑΝΙΚΗ ΕΤΑΙΡΕΙΑ ΦΑΡΜΑΚΩΝ ΚΑΛΛΥΝΤΙΚΩΝ ΚΑΙ ΚΑΤΑΝΑΛΩΤΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,13399.65,33690000-3,1312
9ΟΩΛ46907Κ-1Ο3,2021-12-14,TOXICARB/SERB ORAL.SUSP 20G/100ML BTx1BOTTLEx250ML,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,1908.0,33690000-3,1312
ΩΧ6Ε46907Κ-ΚΗ1,2021-12-14,NULOJIX PD.C.S.INF 250MG/VIAL (25MG/ML) BTx2VIALS+2 ΣΥΡΙΓΓΕΣ,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,1450.53,33690000-3,1312
6ΕΘ046907Κ-2ΩΝ,2021-12-14,HISTAKUT INJ.SOL 1MG/ML AMP BTx5AMPx4ML,090064864,ΙΝΣΤΙΤΟΥΤΟ ΦΑΡΜΑΚΕΥΤΙΚΗΣ ΕΡΕΥΝΑΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,2522.8,33690000-3,1312
