ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
69ΙΓ469069-ΗΟ0,2021-11-09,Χ/Ε 2812/2021,094177075,ΜΔΚΑΛΑΠΟΔΗΣ ΑΝΩΝΥΜΟΣ ΒΙΟΤΕΧΝΙΚΗ ΚΑΙ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ ΜΗΧΑΝΩΝ ΚΑΙ ΥΛΙΚΩΝ ΓΡΑΦΕΙΟΥ,2160.67,98390000-3,0887
ΩΑΘΗ469069-Ε7Ψ,2022-05-11,Χ/Ε 904/2022,094396063,ΝΟΣΟΚΟΜΕΙΑΚΗ ΓΡΑΜΜΗ ΑΕ ΕΙΣΑΓΩΓΗΣ ΚΑΙ ΕΜΠΟΡΙΑΣ ΙΑΤΡΙΚΟΥ ΝΟΣΟΚΟΜΕΙΑΚΟΥ ΚΑΙ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΥΛΙΚΟΥ,977.11,33140000-3,1311
6Σ8Ω469069-ΩΤΦ,2022-10-13,Χ/Ε 3021/2022,094031965,ΒΙΑΝΕΞ ΑΕ ΑΝΩΝΥΜΟΣ ΕΜΠΟΡΟΒΙΟΜΗΧΑΝΙΚΗ ΤΟΥΡΙΣΤΙΚΗ ΞΕΝΟΔΟΧΕΙΑΚΗ ΚΑΙ ΝΑΥΤΙΛΙΑΚΗ ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ,31287.72,33690000-3,1312
6ΔΗΕ469069-ΤΕΕ,2023-03-14,Χ/Ε 568/2023,095632467,ΠΝΟΗ ΑΕ ΙΑΤΡΙΚΟΥ ΕΞΟΠΛΙΣΜΟΥ,925.77,,2611
6ΚΤΣ469069-ΝΩΙ,2023-03-31,Χ/Ε 997/2023,061362880,"ΚΩΛΕΤΣΗ,,ΒΑΣΙΛΙΚΗ,ΠΑΝΑΓΙΩΤΗΣ",1270.05,,"1261, 1311, 1381"
ΨΕΨ8469069-ΒΦΘ,2023-09-22,Χ/Ε 3673/2023,094035927,ΒΙΟΣΕΡ ΑΕ ΒΙΟΜΗΧΑΝΙΑ ΠΑΡΕΝΤΕΡΙΚΩΝ ΔΙΑΛΥΜΑΤΩΝ,33079.74,,1312
9ΚΧ9469069-ΟΕΗ,2024-04-09,Χ/Ε 897/2024,999999999,ΙΒ ΔΟΥ ΑΘΗΝΩΝ,5927.2,,3391
ΨΘΕΗ469069-42Υ,2024-04-10,Χ/Ε 937/2024,099370337,VIOLAK INTERNATIONAL ΝΟΣΟΚΟΜΕΙΑΚΟΥ ΕΞΟΠΛΙΣΜΟΥ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,7013.86,,1311
ΨΤΜΜ469069-ΝΞΨ,2024-11-01,Χ/Ε 3988/2024,801540864,NEWERAIT Ε Ε,8463.0,,0426
ΨΤ6Β469069-ΜΣΩ,2024-07-08,Χ/Ε 2241/2024,095627710,ΤΡΟΦΟΕΜΠΟΡΙΚΗ ΕΜΠΟΡΙΑ ΤΡΟΦΙΜΩΝ ΚΑΙ ΕΙΔΩΝ ΠΑΝΤΟΠΩΛΕΙΟΥ ΜΟΝΟΠΡΟΣΩΠΗ ΕΠΕ,468.23,,1511
ΨΞΘ0469069-ΤΟΖ,2025-05-30,Χ/Ε 1685/2025,094456875,SIEMENS HEALTHINEERS ΕΛΛΑΣ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,12831.44,,1359
Ρ5Ω9469069-6Μ6,2025-09-30,ΧΕ 3174/2025,094498111,MEDTRONIC HELLAS ΙΑΤΡΙΚΑ ΜΗΧΑΝΗΜΑΤΑ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,7034.67,,1311
Ρ5Ω9469069-6Μ6,2025-09-30,ΧΕ 3174/2025,094498111,MEDTRONIC HELLAS ΙΑΤΡΙΚΑ ΜΗΧΑΝΗΜΑΤΑ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,669.6,,1959
