ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
63ΒΞ46906Ε-4ΝΝ,2022-10-19,ΧΕ,,,,no sponsor block
6ΚΑ246906Ε-ΛΔ6,2022-10-19,ΧΕ,,,,no sponsor block
63ΝΓ46906Ε-81Ο,2022-10-19,ΧΕ,,,,no sponsor block
ΨΠΓΖ46906Ε-7ΥΖ,2022-10-19,ΧΕ,,,,no sponsor block
6Φ8Λ46906Ε-ΙΣΒ,2022-10-19,ΧΕ,,,,no sponsor block
ΨΖΞΕ46906Ε-ΕΣΣ,2022-10-19,ΧΕ,,,,no sponsor block
ΨΨΖ246906Ε-ΗΑΒ,2022-10-19,ΧΕ,,,,no sponsor block
ΨΩΠ846906Ε-Β9Μ,2022-10-19,ΧΕ,,,,no sponsor block
9ΠΟ946906Ε-Ζ0Γ,2022-10-19,ΧΕ,,,,no sponsor block
6ΥΕ946906Ε-Ρ62,2022-10-19,ΧΕ,,,,no sponsor block
ΨΖΒΩ46906Ε-55Ν,2022-10-19,ΧΕ,,,,no sponsor block
ΨΝΜΦ46906Ε-ΨΚ4,2022-10-19,ΧΕ,,,,no sponsor block
6Δ7646906Ε-ΜΤ0,2022-10-19,ΧΕ,,,,no sponsor block
ΨΑ3Ρ46906Ε-ΑΕ5,2022-10-05,ΧΕ,,,,no sponsor block
9ΡΩ146906Ε-Τ4Χ,2022-10-04,ΧΕ,,,,no sponsor block
Ψ50Υ46906Ε-84Ζ,2022-10-04,ΧΕ,,,,no sponsor block
ΨΜΟΓ46906Ε-ΣΥΥ,2022-10-04,ΧΕ,,,,no sponsor block
653Κ46906Ε-3Χ6,2022-10-04,ΧΕ,,,,no sponsor block
Ω5ΟΖ46906Ε-9ΣΒ,2022-10-04,ΧΕ,,,,no sponsor block
ΨΨΗΚ46906Ε-ΙΓ1,2022-10-04,ΧΕ,,,,no sponsor block
674Σ46906Ε-6ΘΥ,2022-10-03,ΧΕ,,,,no sponsor block
6ΘΔΩ46906Ε-21Π,2022-10-03,ΧΕ,,,,no sponsor block
Ω50846906Ε-8ΧΜ,2022-10-03,ΧΕ,,,,no sponsor block
Ω2ΗΘ46906Ε-ΘΜΥ,2022-10-03,ΧΕ,,,,no sponsor block
ΩΥΝΑ46906Ε-ΙΜ8,2022-10-03,ΧΕ,,,,no sponsor block
ΨΟΣ146906Ε-Β6Ρ,2022-10-03,ΧΕ,,,,no sponsor block
96Ζ046906Ε-ΞΚΙ,2022-10-03,ΧΕ,,,,no sponsor block
9ΠΤΓ46906Ε-ΔΓΔ,2022-10-03,ΧΕ,,,,no sponsor block
6ΚΥΖ46906Ε-ΡΝ0,2022-10-04,ΧΕ,,,,no sponsor block
67ΨΤ46906Ε-Ι0Η,2023-03-16,X.E.,,,,no sponsor block
Ρ02Ξ46906Ε-851,2023-03-16,X.E.,,,,no sponsor block
6Δ9846906Ε-ΗΤΥ,2023-03-16,X.E.,,,,no sponsor block
6ΤΨΨ46906Ε-ΡΓ2,2023-03-16,X.E.,,,,no sponsor block
Ρ1ΩΥ46906Ε-9Η0,2023-03-16,X.E.,,,,no sponsor block
6ΑΨΣ46906Ε-46Χ,2023-03-16,X.E.,,,,no sponsor block
