month,n_payments,total_eur
2021-08,114,454908.77
2021-09,64,145631.49
2021-10,152,659711.83
2021-11,122,558783.03
2021-12,185,567401.57
2022-01,115,889527.92
2022-02,241,776174.12
2022-03,161,613152.4
2022-04,215,579372.93
2022-05,136,563415.83
2022-06,196,575763.99
2022-07,151,511732.5
2022-08,205,849640.92
2022-09,216,762200.71
2022-10,132,1014490.01
2022-11,125,424896.96
2022-12,123,623706.78
2023-01,94,336626.66
2023-02,7,226876.0
2023-03,9,413492.0
2023-04,99,300725.85
2023-05,567,1697723.63
2023-06,318,1415070.13
2023-07,206,1279077.73
2023-08,162,697612.79
2023-09,216,798680.51
2023-10,160,650021.98
2023-11,250,1138531.99
2023-12,142,637269.56
2024-01,187,797388.47
2024-02,168,1162426.81
2024-03,175,946210.88
2024-04,248,1398115.96
2024-05,112,969918.95
2024-06,181,1471263.08
2024-07,234,1523633.82
2024-08,47,213772.77
2024-09,251,2136262.7
2024-10,201,908992.4
2024-11,106,696350.38
2024-12,220,1604544.08
2025-01,87,648454.23
2025-02,163,1422638.81
2025-03,269,1809857.69
2025-04,167,654107.42
2025-05,159,694099.87
2025-06,165,1185094.95
2025-07,172,732485.21
2025-08,115,649394.42
2025-09,57,239312.9
2025-10,256,1696508.04
2025-11,133,665536.66
2025-12,206,2740711.85
2026-01,143,639666.0
2026-02,184,1373343.0
2026-03,235,2120272.15
2026-04,210,1284688.86
2026-05,107,682475.19
2026-06,216,3602962.09
2026-07,260,853436.97
2026-08,27,456870.52
