month,n_payments,total_eur
2021-08,107,220946.67
2021-09,251,613250.8
2021-10,116,812323.48
2021-11,282,1231701.77
2021-12,344,1880670.68
2022-02,40,848885.2
2022-03,314,1101007.74
2022-04,40,543235.1
2022-05,76,311832.45
2022-06,128,792836.21
2022-07,88,141703.48
2022-08,122,256306.94
2022-09,127,765648.2
2022-10,147,350191.16
2022-11,282,1461878.3
2022-12,197,878282.01
2023-01,86,108021.88
2023-02,238,531489.46
2023-03,44,302943.61
2023-04,164,637942.67
2023-05,299,1425659.11
2023-06,288,3850745.08
2023-07,202,1095539.98
2023-08,170,401005.22
2023-09,250,805280.29
2023-10,137,1359006.53
2023-11,178,472694.35
2023-12,134,307393.86
2024-01,107,196922.35
2024-02,328,1125410.07
2024-03,128,1122477.74
2024-04,366,988218.93
2024-05,209,475247.19
2024-06,230,1223037.04
2024-07,282,1143997.74
2024-08,236,774877.24
2024-09,98,155777.41
2024-10,252,696805.64
2024-11,47,194750.3
2024-12,108,210235.98
2025-01,53,62178.42
2025-02,240,730197.39
2025-03,111,305331.11
2025-04,191,513406.34
2025-05,285,887069.74
2025-06,152,541758.12
2025-07,110,197244.26
2025-08,224,466914.5
2025-09,167,641871.19
2025-10,246,726013.64
2025-11,334,1116208.52
2025-12,156,892992.56
2026-01,13,425.88
2026-02,326,955645.94
2026-03,254,706771.97
2026-04,228,1031037.84
2026-05,372,1334625.89
2026-06,767,2246165.54
2026-07,301,396574.48
2026-08,198,441665.39
