month,n_payments,total_eur
2023-07,80,750988.94
2023-08,111,605728.78
2023-09,91,759413.32
2023-10,637,3788314.98
2023-11,180,1370944.67
2023-12,31,651916.4
2024-01,241,1444976.2
2024-02,156,1970881.07
2024-03,132,1891123.04
2024-04,243,1608102.51
2024-05,221,1030844.89
2024-06,282,946007.93
2024-07,90,615865.23
2024-08,128,738858.68
2024-09,136,764845.81
2024-10,119,687234.59
2024-11,88,430064.76
2024-12,410,1124117.71
2025-01,286,945100.53
2025-02,196,1440048.62
2025-03,148,1590498.07
2025-04,82,631544.93
2025-05,144,681132.81
2025-06,228,717794.48
2025-07,447,1375059.28
2025-08,141,544511.76
2025-09,122,837357.76
2025-10,131,626239.26
2025-11,113,676723.0
2025-12,141,984368.57
2026-01,219,530399.52
2026-02,316,2446315.8
2026-03,149,692845.06
2026-04,135,1137219.12
2026-05,102,359945.74
2026-06,341,1687876.83
2026-07,199,859131.94
2026-08,15,59874.32
