month,n_payments,total_eur
2024-01,8,15833.81
2024-02,364,1110209.98
2024-03,230,1139557.32
2024-04,154,836226.25
2024-05,82,273795.07
2024-06,225,670450.33
2024-07,195,454485.1
2024-08,24,113695.1
2024-09,57,54297.11
2024-10,64,135935.99
2024-11,142,342584.16
2024-12,109,282411.57
2025-02,316,1353966.53
2025-03,20,75722.82
2025-04,38,113220.8
2025-05,33,200272.68
2025-06,138,575758.99
2025-07,147,497021.76
2025-08,30,153056.2
2025-09,35,188747.09
2025-10,113,556837.4
2025-11,53,151125.42
2025-12,33,73338.38
2026-02,225,1110526.38
2026-03,59,573187.97
2026-04,46,191087.07
2026-05,73,250681.7
2026-06,79,206415.23
2026-07,98,562853.85
2026-08,35,96235.71
