ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
Ψ2ΟΧ46907Τ-Ψ5Α,2026-02-20,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6ΜΥ846907Τ-Α6Ζ,2026-02-12,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΒ0Φ46907Τ-6ΚΡ,2026-02-12,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6ΣΠΦ46907Τ-ΚΗ7,2026-02-09,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΒΨ046907Τ-ΤΜΘ,2026-01-29,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9Ν8446907Τ-ΘΘ4,2026-01-27,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΡΠΩ346907Τ-ΔΛΩ,2026-01-23,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΨΛΗ46907Τ-Μ52,2026-01-23,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΞΔΛ46907Τ-Υ1Λ,2026-01-23,ΑΠΟΔΟΣΗ ΕΦΚΑ & ΦΜΥ ΠΡΟΣΩΠΙΚΟΥ ΟΑΕΔ (11ΟΣ/2025),,,,no sponsor block
68ΩΟ46907Τ-ΩΓΡ,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΧΧΚ46907Τ-Β5Ν,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΨΠΞ46907Τ-536,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΕΥΝ46907Τ-7ΑΒ,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΘΦΑ46907Τ-ΡΨ8,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΔΡΕ46907Τ-ΑΦΥ,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΖΣ546907Τ-92Ι,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΔΠ446907Τ-ΜΝΦ,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6Τ0Ο46907Τ-3Β8,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΥΟΠ46907Τ-84Μ,2026-07-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΘΝΚ46907Τ-ΑΤ8,2026-07-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
93Γ246907Τ-Υ31,2026-07-15,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6ΝΦΑ46907Τ-Ε2Δ,2026-07-15,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΞΔΠ46907Τ-ΕΝΠ,2026-07-14,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ7ΤΓ46907Τ-00Γ,2026-07-14,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΔΕΟ46907Τ-8ΔΑ,2026-07-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΟΟΠ46907Τ-Γ92,2026-07-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ7ΟΜ46907Τ-8ΣΧ,2026-07-10,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΖΒΧ46907Τ-ΜΩΑ,2026-07-09,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
941Υ46907Τ-ΚΜ5,2026-07-09,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΞΨΘ46907Τ-ΒΛΨ,2026-07-09,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ0ΦΔ46907Τ-ΟΟΒ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ66Ψ46907Τ-ΔΚ4,2026-07-03,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ7Ε446907Τ-Β94,2026-07-03,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΜΛΞ46907Τ-Τ1Ζ,2026-07-03,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ8Ο846907Τ-Γ1Λ,2026-07-03,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
93ΠΝ46907Τ-ΤΦ4,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΘΨΕ46907Τ-ΠΙΣ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΔΓ946907Τ-ΡΜ9,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΓΕΞ46907Τ-851,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΕΨ146907Τ-ΕΡΥ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΙΟΠ46907Τ-ΝΤ6,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΔΕΒ46907Τ-ΟΧΞ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΧΠΗ46907Τ-ΛΗΜ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ44Ρ46907Τ-Υ45,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΕΝ746907Τ-2ΔΦ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
915Σ46907Τ-ΖΟΥ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΩΝ046907Τ-Ξ4Σ,2026-07-02,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΣΦΔ46907Τ-Ψ1Μ,2026-06-30,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9Ω6Β46907Τ-ΧΩΟ,2026-06-30,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ9Ζ846907Τ-ΗΗΑ,2026-06-30,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
97Β646907Τ-03Δ,2026-06-30,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΑΤΠ46907Τ-ΞΓΤ,2026-06-23,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6ΖΠΤ46907Τ-ΜΓΑ,2026-06-23,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9Α7Μ46907Τ-0Ο7,2026-06-19,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΩ0Ω46907Τ-ΧΥΓ,2026-06-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6Δ6Β46907Τ-4ΡΑ,2026-06-17,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ1ΒΔ46907Τ-ΛΥ1,2026-06-10,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
95ΚΔ46907Τ-9ΚΣ,2026-06-08,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΙΔΖ46907Τ-21Η,2026-06-05,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
62ΛΔ46907Τ-7ΝΔ,2026-05-27,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ8ΨΨ46907Τ-Υ9Π,2026-05-19,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
ΨΞΟΨ46907Τ-8ΡΞ,2026-05-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
Ψ81Θ46907Τ-ΧΦ3,2026-05-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9Φ1Χ46907Τ-7ΦΩ,2026-05-13,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΣΞΙ46907Τ-ΒΩ3,2026-04-28,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
6ΧΜ646907Τ-87Α,2026-04-23,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9Ο7Δ46907Τ-9ΧΦ,2026-04-22,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΡΘΠ46907Τ-Ρ9Ζ,2026-04-21,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
9ΜΚ746907Τ-ΥΒΠ,2026-03-31,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
96Ρ046907Τ-Ζ8Β,2026-03-31,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
68ΠΙ46907Τ-593,2026-03-27,ΕΞΟΦΛΗΣΗ Χ.Ε.,,,,no sponsor block
