month,n_payments,total_eur
2021-08,165,342665.62
2021-09,287,1286660.09
2021-10,109,913361.35
2021-11,287,1989101.27
2021-12,151,839660.41
2022-01,145,534973.84
2022-02,357,1025242.34
2022-03,89,375232.57
2022-04,125,1878201.92
2022-05,384,1467190.74
2022-06,329,764901.72
2022-07,119,397895.86
2022-08,187,842678.7
2022-09,279,644460.03
2022-10,220,737653.65
2022-11,255,1997265.78
2022-12,407,1933108.56
2023-01,12,19564.31
2023-02,6,22291.17
2023-03,77,175196.07
2023-04,247,2027060.58
2023-05,103,911512.82
2023-06,144,343963.93
2023-07,226,2193162.64
2023-08,115,297215.0
2023-09,64,519749.81
2023-10,296,1071113.0
2023-11,221,687282.93
2023-12,79,1629448.97
2024-01,11,58149.23
2024-02,189,1087931.23
2024-03,286,967544.12
2024-04,174,745169.95
2024-05,148,1180306.95
2024-06,430,1291136.65
2024-07,498,2025974.01
2024-08,157,610825.28
2024-09,55,443673.39
2024-10,147,542795.79
2024-11,90,587454.92
2024-12,216,856038.33
2025-01,54,521558.54
2025-02,349,950702.92
2025-03,293,983818.93
2025-04,118,1054739.88
2025-05,70,572592.05
2025-06,101,597093.09
2025-07,322,928622.19
2025-08,354,1327905.9
2025-09,178,488465.39
2025-10,78,261157.54
2025-11,84,299460.35
2025-12,105,1450162.0
2026-01,18,83707.08
2026-02,147,829323.43
2026-03,284,828523.27
2026-04,159,481042.06
2026-05,127,1064669.67
2026-06,175,572933.27
2026-07,246,1122418.41
2026-08,35,76376.77
