ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΩΖΣΖ46904Κ-ΔΣΧ,2021-11-11,ΧΕ2298Α/21                    ΧΠ 3/21 ΠΡΟΜΗΘΕΙΑ ΓΑΛΑΚΤΟΜΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΜΕ ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ  ΑΡ.ΣΥΜΒ 20/21,081840386,ΛΥΚΑΣ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΙΚΕ,2162.08,,1511.01
9ΟΛΡ46904Κ-15Ε,2021-11-11,ΧΕ2296Α/21                                ΧΠ 5/21 ΠΡΟΜΗΘΕΙΑ ΓΑΛΑΚΤΟΜΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΜΕ ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ  ΑΡ.ΣΥΜΒ 20/21,081840386,ΛΥΚΑΣ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΙΚΕ,2474.24,,1511.01
6Δ7Ξ46904Κ-6ΨΛ,2021-11-11,ΧΕ2295Α/21                      ΧΠ 6/21 ΠΡΟΜΗΘΕΙΑ ΓΑΛΑΚΤΟΜΙΚΩΝ ΠΡΟΪΟΝΤΩΝ ΜΕ ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ  ΑΡ.ΣΥΜΒ 20/21,081840386,ΛΥΚΑΣ ΒΙΟΜΗΧΑΝΙΑ ΓΑΛΑΚΤΟΣ ΙΚΕ,1982.02,,1511.01
9Λ4Ψ46904Κ-ΓΕΞ,2021-11-11,ΧΕ2294Α/21               ΧΠ 4/21 ΠΡΟΜΗΘΕΙΑ  ΠΡΟΪΟΝΤΩΝ  ΚΡΕΑΤΟΣ ΜΕ  ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ  ΑΡ. ΣΥΜΒ 30/21,094299299,ΣΙΤΙΣΗ ΑΕ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΙΣΑΓΩΓΙΚΗ ΚΑΙ ΕΞΑΓΩΓΙΚΗ ΕΤΑΙΡΙΑ ΤΡΟΦΙΜΩΝ ΚΑΙ ΕΙΔΩΝ ΣΟΥΠΕΡ ΜΑΡΚΕΤ,183.23,,1511.01
609Υ46904Κ-5ΛΧ,2021-11-11,ΧΕ2293Α/21           XΠ5-6/2021 ΠΡΟΜΗΘΕΙΑ  ΠΡΟΪΟΝΤΩΝ  ΚΡΕΑΤΟΣ ΜΕ  ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ ΑΡ.ΣΥΜΒ 29/2021,999671895,ΓΕΩΡΓΙΟΣ ΚΑΓΙΑΣ ΤΥΠΟΠΟΙΗΤΙΚΗ ΤΡΟΦΙΜΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,969.85,,1511.01
ΨΘ4Ο46904Κ-6Ν8,2021-11-10,ΧΕ2292Α/21          ΧΠ 3-4/2021 ΠΡΟΜΗΘΕΙΑ  ΠΡΟΪΟΝΤΩΝ  ΚΡΕΑΤΟΣ ΜΕ  ΑΠΕΥΘΕΙΑΣ ΑΝΑΘΕΣΗ ΑΡ.ΣΥΜΒ 29/2021,999671895,ΓΕΩΡΓΙΟΣ ΚΑΓΙΑΣ ΤΥΠΟΠΟΙΗΤΙΚΗ ΤΡΟΦΙΜΩΝ ΜΟΝΟΠΡΟΣΩΠΗ ΕΤΑΙΡΙΑ ΠΕΡΙΟΡΙΣΜΕΝΗΣ ΕΥΘΥΝΗΣ,1216.37,,1511.01
ΨΗ7Ε46904Κ-ΨΦΚ,2021-10-11,"ΧΕ1809Α/21                              ΧΠ 11,12/20&1,3/21  ΠΡΟΜΗΘΕΙΑ ΔΡΑΣΤ. ΟΥΣΙΩΝ ΣΥΜΦΩΝΙΑΣ ΠΛΑΙΣΙΟ ΑΡ ΣΥΜΒ 3/2019,  ΕΠΥ 2-2014, ΑΡ.ΣΥΜΒ  190/20",094036383,ΑΝΦΑΡΜ ΕΛΛΑΣ  AE,2275.89,,1312.01
ΨΗ7Ε46904Κ-ΨΦΚ,2021-10-11,"ΧΕ1809Α/21                              ΧΠ 11,12/20&1,3/21  ΠΡΟΜΗΘΕΙΑ ΔΡΑΣΤ. ΟΥΣΙΩΝ ΣΥΜΦΩΝΙΑΣ ΠΛΑΙΣΙΟ ΑΡ ΣΥΜΒ 3/2019,  ΕΠΥ 2-2014, ΑΡ.ΣΥΜΒ  190/20",094036383,ΑΝΦΑΡΜ ΕΛΛΑΣ  AE,3624.06,,1312.02
6ΩΔΕ46904Κ-8ΕΧ,2021-11-09,ΧΕ2169Α/21                           CLAW BACK B EΞΑΜΗΝΟ 2020 ΧΠ 9/2021 ΠΡΟΜΗΘΕΙΑ ΦΑΡΜΑΚΩΝ,094070303,JANSSEN CILAG ΦΑΡΜΑΚΕΥΤΙΚΗ ΑΕΒΕ,34.74,,1312.01
6Ο9Β46904Κ-ΔΗΥ,2021-11-09,"ΧΕ2168Α/21                              REBATE A ΕΞΑΜ 2020 ΧΠ 5,6/21 ΠΡΟΜΗΘΕΙΑ ΦΑΡΜΑΚΩΝ",094070303,JANSSEN CILAG ΦΑΡΜΑΚΕΥΤΙΚΗ ΑΕΒΕ,9.13,,1312.01
