month,n_payments,total_eur
2021-08,189,1392039.3
2021-09,126,1058074.72
2021-10,221,1034314.68
2021-11,228,1350545.53
2021-12,222,806931.49
2022-01,54,376732.03
2022-02,212,962376.2
2022-03,140,764435.77
2022-04,240,1556253.8
2022-05,366,2818565.73
2022-06,265,1105592.11
2022-07,154,458075.38
2022-08,133,600498.94
2022-09,315,1475387.42
2022-10,199,760177.45
2022-11,181,1010091.42
2022-12,207,1089075.08
2023-01,2,3957.93
2023-02,173,533421.1
2023-03,256,2177778.41
2023-04,200,1541734.1
2023-05,258,1640598.72
2023-06,249,1746700.75
2023-07,163,867060.87
2023-08,202,754053.98
2023-09,86,402669.07
2023-10,385,2362045.86
2023-11,319,1358152.51
2023-12,54,313426.13
2024-01,2,35945.96
2024-02,283,1171794.34
2024-03,166,1803225.6
2024-04,421,1577185.62
2024-05,158,1177979.13
2024-06,169,912783.61
2024-07,365,1385658.16
2024-08,232,1033472.34
2024-09,252,628878.4
2024-10,180,816901.21
2024-11,171,676401.91
2024-12,196,938219.25
2025-01,26,370372.15
2025-02,224,1726866.57
2025-03,171,993441.57
2025-04,167,843916.59
2025-05,193,916863.52
2025-06,109,698466.31
2025-07,223,986750.83
2025-08,182,703521.57
2025-09,117,681556.55
2025-10,169,504171.58
2025-11,164,980379.13
2025-12,139,1205945.73
2026-01,1,145893.0
2026-02,177,602407.43
2026-03,158,847398.43
2026-04,136,709841.99
2026-05,187,968577.19
2026-06,206,1713703.58
2026-07,210,1173885.09
2026-08,73,368226.47
