ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
ΨΑΙΓ4690Β3-5ΜΨ,2021-10-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΧΟΝΔΡΟΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ-ΧΡΙΣΤΙΝΑ (129661488),129661488,ΧΟΝΔΡΟΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ-ΧΡΙΣΤΙΝΑ (129661488),153.76,,
ΨΧΔΓ4690Β3-ΡΞΚ,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΚΟΥΜΟΥΛΑΣ Α.Ε. (999678050),999678050,ΚΟΥΜΟΥΛΑΣ Α.Ε. (999678050),22045.19,,
6ΓΘΣ4690Β3-Κ0Ι,2021-12-28,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΚΑΚΑΒΟΣ ΔΗΜΗΤΡΙΟΣ του ΙΩΑΝΝΗ (119540879),119540879,ΚΑΚΑΒΟΣ ΔΗΜΗΤΡΙΟΣ του ΙΩΑΝΝΗ (119540879),5331.26,,
6ΥΖΑ4690Β3-7ΕΠ,2021-12-24,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΗΤΣΟΒΑΣΙΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (132704025),132704025,ΜΗΤΣΟΒΑΣΙΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (132704025),494.26,,
ΩΖΦ74690Β3-3ΤΠ,2021-12-23,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ Γ.ΚΟΝΤΟΣ-Α.ΣΑΚΚΟΣ Ο.Ε. (082555710),082555710,Γ.ΚΟΝΤΟΣ-Α.ΣΑΚΚΟΣ Ο.Ε. (082555710),2103.13,,
631Μ4690Β3-ΧΟ4,2021-12-23,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΚΟΥΜΟΥΛΑΣ Α.Ε. (999678050),999678050,ΚΟΥΜΟΥΛΑΣ Α.Ε. (999678050),37195.36,,
6ΝΝΨ4690Β3-ΒΓΟ,2021-12-23,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΓΕΝΙΚΗ ΕΜΠΟΡΙΚΗ ΚΕΡΚΥΡΑΣ Ε.Π.Ε (999557029),999557029,ΓΕΝΙΚΗ ΕΜΠΟΡΙΚΗ ΚΕΡΚΥΡΑΣ Ε.Π.Ε (999557029),483.59,,
6ΑΦΟ4690Β3-Φ79,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΠΡΟΤΖΕΚΤ ΕΠΙΜΟΡΦΩΤΙΚΗ & ΣΥΜΒΟΥΛΕΥΤΙΚΗ Ε.Π.Ε. (999440430),999440430,ΠΡΟΤΖΕΚΤ ΕΠΙΜΟΡΦΩΤΙΚΗ & ΣΥΜΒΟΥΛΕΥΤΙΚΗ Ε.Π.Ε. (999440430),380.0,,
9ΑΥΤ4690Β3-25Β,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΚΕΦΑΛΛΗΝΟΣ ΝΑΠΟΛΕΩΝ (042590464),042590464,ΚΕΦΑΛΛΗΝΟΣ ΝΑΠΟΛΕΩΝ (042590464),1488.0,,
Ψ1ΤΚ4690Β3-ΖΛΙ,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΚΑΚΑΒΟΣ ΔΗΜΗΤΡΙΟΣ του ΙΩΑΝΝΗ (119540879),119540879,ΚΑΚΑΒΟΣ ΔΗΜΗΤΡΙΟΣ του ΙΩΑΝΝΗ (119540879),3164.06,,
ΩΓ1Ο4690Β3-ΦΔΝ,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ SIEMENS HEALTHCARE ΑBEE (094456875),094456875,SIEMENS HEALTHCARE ΑBEE (094456875),1922.0,,
Ψ4734690Β3-Τ36,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΠΕΛΛΑΣ ΚΡΕΑΣ Α.Ε.Β.Ε. (094330664),094330664,ΜΠΕΛΛΑΣ ΚΡΕΑΣ Α.Ε.Β.Ε. (094330664),10531.95,,
ΨΦ934690Β3-ΡΡΑ,2021-12-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΓΟΓΓΑΚΗΣ Α.Ε.Β.Ε. (094294581),094294581,ΓΟΓΓΑΚΗΣ Α.Ε.Β.Ε. (094294581),16658.96,,
ΨΨΙ54690Β3-ΛΔ3,2021-12-20,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΓΟΓΓΑΚΗΣ Α.Ε.Β.Ε. (094294581),094294581,ΓΟΓΓΑΚΗΣ Α.Ε.Β.Ε. (094294581),6312.31,,
ΨΗΚ54690Β3-ΣΓ0,2021-12-20,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ-Κοι.Σ.Π.Ε. ΚΕΡΚΥΡΑΣ (998968171),998968171,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ-Κοι.Σ.Π.Ε. ΚΕΡΚΥΡΑΣ (998968171),2425.86,,
ΩΧΘΕ4690Β3-ΓΜ8,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΛΕΠΕΝΙΩΤΗΣ ΓΕΩΡ. ΣΠΥΡΟΣ (043307925),043307925,ΛΕΠΕΝΙΩΤΗΣ ΓΕΩΡ. ΣΠΥΡΟΣ (043307925),870.48,,
ΩΔΚΖ4690Β3-30Ο,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ MEGA LAB A.E. (999718087),999718087,MEGA LAB A.E. (999718087),587.76,,
6ΠΔΓ4690Β3-Υ79,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ VAKTRO Α.Ε.Β.Ε. (084221869),084221869,VAKTRO Α.Ε.Β.Ε. (084221869),367.04,,
6ΧΣΟ4690Β3-Α9Β,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΤΣΙΣΤΡΑΚΗΣ Γ.Α. ΑΝΤΩΝΙΟΣ (046283302),046283302,ΤΣΙΣΤΡΑΚΗΣ Γ.Α. ΑΝΤΩΝΙΟΣ (046283302),178.56,,
ΨΒΦΠ4690Β3-Κ3Τ,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ V&L VIOLAK INTERNATIONAL AE (099370337),099370337,V&L VIOLAK INTERNATIONAL AE (099370337),126.48,,
ΨΒ4Η4690Β3-ΧΝ5,2021-12-17,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ V&L VIOLAK INTERNATIONAL AE (099370337),099370337,V&L VIOLAK INTERNATIONAL AE (099370337),256.31,,
