month,n_payments,total_eur
2021-08,392,785281.3
2021-09,103,271288.88
2021-10,279,728575.32
2021-11,226,504965.8
2021-12,181,1561897.48
2022-02,43,372193.91
2022-03,193,1054910.34
2022-04,15,262433.64
2022-05,240,511437.96
2022-06,76,444050.5
2022-07,63,319219.56
2022-08,69,187550.81
2022-09,17,127672.71
2022-10,194,1245039.67
2022-11,298,861915.1
2022-12,200,845759.16
2023-01,10,489084.65
2023-02,41,223034.43
2023-03,87,287960.56
2023-04,102,488073.65
2023-05,131,509941.73
2023-06,240,2338640.7
2023-07,689,2625807.37
2023-08,61,315641.32
2023-09,37,134809.85
2023-10,97,663728.53
2023-11,95,405493.75
2023-12,105,515068.62
2024-01,9,274952.25
2024-02,138,648601.72
2024-03,176,1478472.3
2024-04,216,767225.03
2024-05,233,1129712.95
2024-06,205,1518819.19
2024-07,320,1568487.23
2024-08,216,538416.44
2024-09,228,792728.67
2024-10,109,825360.33
2024-11,55,389297.61
2024-12,118,493412.66
2025-01,17,27059.99
2025-02,160,642549.31
2025-03,128,425268.44
2025-04,157,950826.23
2025-05,87,554319.91
2025-06,473,1769954.42
2025-07,201,846311.95
2025-08,100,823349.87
2025-09,194,669815.13
2025-10,192,623848.16
2025-11,396,1697541.31
2025-12,144,1068201.21
2026-02,97,555583.38
2026-03,288,1359331.51
2026-04,205,1251740.99
2026-05,132,1163879.95
2026-06,475,2262784.36
2026-07,256,929766.43
2026-08,75,88180.14
