month,n_payments,total_eur
2021-08,418,3245921.36
2021-09,224,1122620.05
2021-10,325,4236036.05
2021-11,56,6020238.63
2021-12,404,25258230.6
2022-02,231,1990196.54
2022-03,180,2323959.08
2022-04,110,4185370.47
2022-05,314,5665035.85
2022-06,197,6485149.06
2022-07,158,1238627.92
2022-08,187,1993588.29
2022-09,249,2346019.39
2022-10,46,1023518.11
2022-11,302,15204962.25
2022-12,314,14980265.62
2023-01,11,11495.77
2023-02,244,4870207.87
2023-03,165,4564464.61
2023-04,137,9860546.38
2023-05,269,7545902.7
2023-06,173,5914434.01
2023-07,180,11392070.6
2023-08,136,460932.8
2023-09,183,8686411.72
2023-10,214,3670462.08
2023-11,328,12670606.09
2023-12,103,1923448.89
2024-01,41,1775443.39
2024-02,279,9128123.89
2024-03,230,3457954.25
2024-04,339,4935895.23
2024-05,380,3126708.7
2024-06,128,2876218.5
2024-07,374,7189191.46
2024-08,182,2238231.97
2024-09,119,593477.63
2024-10,268,2044274.71
2024-11,156,5691909.57
2024-12,183,4589252.46
2025-01,63,407590.73
2025-02,290,4204082.98
2025-03,274,2932388.36
2025-04,155,2202393.83
2025-05,222,4229213.1
2025-06,92,1625897.75
2025-07,152,3225287.58
2025-08,356,6744113.4
2025-09,305,2714091.38
2025-10,313,5018712.35
2025-11,336,4460924.77
2025-12,138,2226757.96
2026-01,115,1423618.54
2026-02,345,2591069.93
2026-03,321,2507608.32
2026-04,116,1380238.84
2026-05,80,910175.63
2026-06,281,4912129.01
2026-07,348,2356321.98
2026-08,114,384883.95
