ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
9ΞΥ2469ΗΔΧ-ΟΗΗ,2021-12-27,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ,,,,no sponsor block
6Κ8Σ469ΗΔΧ-Α54,2021-12-27,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ,,,,no sponsor block
ΨΤΑΤ469ΗΔΧ-3ΚΚ,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3108,,,,no sponsor block
9Ψ3Π469ΗΔΧ-ΥΩΓ,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3102,,,,no sponsor block
9ΠΑΘ469ΗΔΧ-ΑΑ6,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3099,,,,no sponsor block
ΩΜΛ2469ΗΔΧ-ΘΓΡ,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ 3096-3097,,,,no sponsor block
ΩΥΚΣ469ΗΔΧ-ΑΓ0,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3087,,,,no sponsor block
ΨΤΜΡ469ΗΔΧ-ΧΞΤ,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3084-3085,,,,no sponsor block
ΩΖ7Ε469ΗΔΧ-09Β,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3080-3082,,,,no sponsor block
6ΗΗΘ469ΗΔΧ-ΑΨΔ,2021-12-24,ΟΡΙΣΤΙΚΟΠΟΙΗΣΗ ΠΛΗΡΩΜΗΣ ΧΕ 3078,,,,no sponsor block
