month,n_payments,total_eur
2021-08,289,2175977.42
2021-09,571,4893231.61
2021-10,321,1846230.96
2021-11,353,2122621.02
2021-12,304,4965862.56
2022-02,509,3669033.0
2022-03,202,1931455.94
2022-04,409,4857706.66
2022-05,643,5422792.92
2022-06,367,2623456.55
2022-07,202,1354725.65
2022-08,283,2319660.35
2022-09,294,2622773.4
2022-10,95,1333712.35
2022-11,201,2185087.97
2022-12,432,6102520.75
2023-01,16,229713.44
2023-02,406,6406528.74
2023-03,324,2312767.12
2023-04,389,3577531.7
2023-05,637,5364063.16
2023-06,420,4245557.9
2023-07,468,5025428.57
2023-08,376,3208378.4
2023-09,421,3144574.59
2023-10,815,7522258.5
2023-11,247,4450342.24
2023-12,47,718336.51
2024-01,321,4870226.11
2024-02,501,4146652.97
2024-03,286,3549159.41
2024-04,329,3030800.49
2024-05,331,3657912.92
2024-06,403,4361838.47
2024-07,513,4426051.85
2024-08,418,3610164.56
2024-09,471,3217938.59
2024-10,346,3156445.12
2024-11,164,1429607.4
2024-12,58,602745.84
2025-01,1,179989.2
2025-02,298,2241762.51
2025-03,308,2068345.48
2025-04,232,4502316.92
2025-05,165,2216445.52
2025-06,322,3459759.51
2025-07,579,6336424.71
2025-08,357,3978396.7
2025-09,125,10272859.38
2025-10,592,5295844.58
2025-11,268,2021426.53
2025-12,542,3663491.61
2026-01,79,1456386.9
2026-02,404,2758566.93
2026-03,15,164469.91
2026-04,337,3230656.01
2026-05,210,2280030.31
2026-06,578,8116605.27
2026-07,36,671009.52
2026-08,121,2988678.8
