month,n_payments,total_eur
2023-03,249,654592.88
2023-04,148,340269.58
2023-05,222,797412.6
2023-06,314,904179.32
2023-07,146,327148.7
2023-08,51,153774.08
2023-09,238,467883.43
2023-10,88,191319.06
2023-11,122,536226.03
2023-12,54,218774.52
2024-02,389,1343960.91
2024-03,123,311772.9
2024-04,304,808288.24
2024-05,57,182620.31
2024-06,188,514488.46
2024-07,223,480158.09
2024-08,194,469371.77
2024-09,105,206491.45
2024-10,145,414793.23
2024-11,141,371146.69
2024-12,67,266190.33
2025-01,1,62.1
2025-02,72,272122.34
2025-03,87,316457.24
2025-04,267,816309.62
2025-05,170,327046.51
2025-06,101,531749.19
2025-07,280,772512.48
2025-08,109,315927.72
2025-09,193,543706.23
2025-10,122,270832.76
2025-11,38,88801.94
2025-12,115,247019.47
2026-02,286,822171.43
2026-03,105,458529.08
2026-04,236,794416.74
2026-05,154,463315.49
2026-06,244,840048.08
2026-07,115,253447.0
