ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,cpv,kae
6ΒΣΡ4690ΒΧ-5ΚΙ,2023-03-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΕΧΕΤΛΟΣ ΚΑΤΑΣΚΕΥΕΣ Ε.Ε (801296273),801296273,ΕΧΕΤΛΟΣ ΚΑΤΑΣΚΕΥΕΣ Ε.Ε (801296273),11999.48,,
6ΠΝ84690ΒΧ-ΥΛΓ,2023-03-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΕΧΕΤΛΟΣ ΚΑΤΑΣΚΕΥΕΣ Ε.Ε (801296273),801296273,ΕΧΕΤΛΟΣ ΚΑΤΑΣΚΕΥΕΣ Ε.Ε (801296273),5297.28,,
9ΚΤΝ4690ΒΧ-Θ9Ζ,2023-03-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΡΟΝΤΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ (301370400),301370400,ΡΟΝΤΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ (301370400),2945.0,,
6ΗΡΚ4690ΒΧ-ΤΦΣ,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),090000045,ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),12.0,,
ΨΔΜΔ4690ΒΧ-2Ξ5,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),090000045,ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),545.0,,
6ΕΛΘ4690ΒΧ-Φ2Ο,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),090000045,ΔΗΜ.ΕΠΙΧ/ΣΗ ΗΛΕΚΤΡΙΣΜΟΥ ΑΕ (090000045),3851.0,,
98Ψ84690ΒΧ-ΤΣΣ,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),094019245,ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),56.76,,
9ΩΖ34690ΒΧ-ΚΞΙ,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),094019245,ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),669.3,,
9Η944690ΒΧ-ΜΙΤ,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),094019245,ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),258.45,,
ΨΦΩ94690ΒΧ-ΩΜΚ,2023-03-13,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),094019245,ΟΡΓ/ΣΜΟΣ ΤΗΛΕΠ/ΝΙΩΝ ΕΛΛΑΔΟΣ ΑΕ (094019245),207.8,,
