ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
69ΙΜ4690ΒΧ-9Λ1,2023-02-02,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΙΣΘΟΔΟΣΙΑ ΠΡΟΥΠ ΝΟΣΟΚ (1111111),,,1157.29,anonymous sponsor (empty sponsorAFMName)
ΨΥ2Γ4690ΒΧ-5ΦΖ,2023-02-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΟΝΙΜΟΣ ΥΠΑΛΛΗΛΟΣ (1199),,,2000.00,anonymous sponsor (empty sponsorAFMName)
Ψ6ΜΤ4690ΒΧ-4ΓΗ,2023-02-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΟΝΙΜΟΣ ΥΠΑΛΛΗΛΟΣ (1199),,,1500.00,anonymous sponsor (empty sponsorAFMName)
9ΓΛΣ4690ΒΧ-Ι3Δ,2023-02-21,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΟΝΙΜΟΣ ΥΠΑΛΛΗΛΟΣ (1199),,,1000.00,anonymous sponsor (empty sponsorAFMName)
91ΩΝ4690ΒΧ-Ι57,2023-03-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ (999999999),,,30.27,anonymous sponsor (empty sponsorAFMName)
6ΦΗΣ4690ΒΧ-Φ41,2023-03-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΠΛΗΡΟΦΟΡ.ΣΥΣΤΗΜΑΤΩΝ (TAXIS NET) (12681268),,,0.17,anonymous sponsor (empty sponsorAFMName)
6Κ1Γ4690ΒΧ-Κ0Α,2023-03-22,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΠΛΗΡΟΦΟΡ.ΣΥΣΤΗΜΑΤΩΝ (TAXIS NET) (12681268),,,1377.23,anonymous sponsor (empty sponsorAFMName)
ΩΖ2Ψ4690ΒΧ-Υ84,2023-03-03,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΙΚΑ (88888888888),,,394.67,anonymous sponsor (empty sponsorAFMName)
64ΑΚ4690ΒΧ-Γ2Ζ,2023-03-03,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΙΚΑ (88888888888),,,4672.73,anonymous sponsor (empty sponsorAFMName)
9ΗΔ14690ΒΧ-ΡΞΗ,2023-03-03,ΕΝΤΑΛΜΑ ΠΛΗΡΩΜΗΣ ΜΙΣΘΟΔΟΣΙΑ ΠΡΟΥΠ ΝΟΣΟΚ (1111111),,,36203.45,anonymous sponsor (empty sponsorAFMName)
