month,n_payments,total_eur
2021-08,182,4230813.11
2021-09,268,6808439.27
2021-10,391,13243015.52
2021-11,295,8326151.62
2021-12,89,18103165.01
2022-01,10,290246.02
2022-02,245,3179790.46
2022-03,176,8435486.99
2022-04,411,18070877.92
2022-05,477,14861908.56
2022-06,273,4830464.51
2022-07,172,8405136.26
2022-08,223,15226716.53
2022-09,254,7499407.89
2022-10,255,2877530.52
2022-11,148,12444601.9
2022-12,273,5464331.73
2023-01,15,698658.88
2023-02,222,6571141.86
2023-03,219,5983753.37
2023-04,246,12911985.84
2023-05,488,26268811.29
2023-06,444,11431609.15
2023-07,265,19590278.06
2023-08,94,5711794.95
2023-09,65,5046166.32
2023-10,513,22015305.75
2023-11,280,10027777.38
2023-12,28,183952.05
2024-01,353,9174426.19
2024-02,380,21340601.8
2024-03,246,10406048.38
2024-04,300,5294340.94
2024-05,192,15727340.67
2024-06,299,24854745.3
2024-07,238,8838199.6
2024-08,121,7574638.98
2024-09,256,4882923.01
2024-10,206,7900628.73
2024-11,285,7173859.19
2024-12,293,17073499.58
2025-01,143,4474227.86
2025-02,442,7692650.01
2025-03,97,876057.76
2025-04,220,2526584.82
2025-05,304,4979741.32
2025-06,429,11718565.52
2025-07,575,10164380.02
2025-08,282,4190117.97
2025-09,413,7164183.39
2025-10,438,10377679.99
2025-11,403,6397980.43
2025-12,277,10616871.23
2026-02,60,1407037.49
2026-03,518,9791482.91
2026-04,235,4408882.66
2026-05,366,8516972.91
2026-06,321,7276097.05
2026-07,99,1294300.78
2026-08,242,2933798.13
