ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
ΨΧ9646907Τ-Ν11,2021-12-21,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3833-21/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,5783.55,self-referential (payroll/EFKA/FMY remittance)
6Γ3Θ46907Τ-ΑΕΨ,2021-12-21,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3732-13/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,2699.67,self-referential (payroll/EFKA/FMY remittance)
ΩΙ9Ψ46907Τ-ΞΜΗ,2021-12-20,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΓΙΑ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΙ ΥΠΗΡΕΣΙΩΝ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΧΑΝΙΩΝ ΣΥΜΦΩΝΑ ΜΕ ΤΑ ΑΙΤΗΜΑΤΑ ΤΩΝ ΤΜΗΜΑΤΩΝ ΑΠΟ 18/11/2021 ΕΩΣ 16/12/2021,,,195578.56,anonymous sponsor (empty sponsorAFMName)
ΩΙΡΝ46907Τ-ΕΦΔ,2021-12-10,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΙ ΥΠΗΡΕΣΙΩΝ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΧΑΝΙΩΝ ΣΥΜΦΩΝΑ ΜΕ ΤΑ ΑΙΤΗΜΑΤΑ ΤΩΝ ΤΜΗΜΑΤΩΝ ΑΠΟ 16/11/2021 ΕΩΣ 9/12/2021,,,88377.59,anonymous sponsor (empty sponsorAFMName)
ΩΦ7Φ46907Τ-17Ρ,2021-12-07,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 26370-06/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,76435.91,self-referential (payroll/EFKA/FMY remittance)
ΨΚΟΓ46907Τ-52Λ,2021-12-06,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3662-06/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,6711.94,self-referential (payroll/EFKA/FMY remittance)
6ΚΘΤ46907Τ-Ζ10,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3607-02/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1735.21,self-referential (payroll/EFKA/FMY remittance)
66ΑΔ46907Τ-ΡΨ9,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3590-01/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,2068.06,self-referential (payroll/EFKA/FMY remittance)
ΨΚΒΒ46907Τ-ΧΗΝ,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3584-01/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,1637.77,self-referential (payroll/EFKA/FMY remittance)
61ΜΣ46907Τ-ΛΒΝ,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3616-02/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,4589.60,self-referential (payroll/EFKA/FMY remittance)
ΩΖ1Π46907Τ-6ΔΠ,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3586-01/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,62494.85,self-referential (payroll/EFKA/FMY remittance)
ΩΦΙΓ46907Τ-ΔΝ2,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ 3582-01/12/2021,999444662,ΓΕΝΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΧΑΝΙΩΝ Ο ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,2665.63,self-referential (payroll/EFKA/FMY remittance)
6ΓΓΧ46907Τ-ΛΒΙ,2021-11-22,ΕΓΚΡΙΣΗ ΔΑΠΑΝΩΝ ΓΙΑ ΤΗΝ ΠΡΟΜΗΘΕΙΑ ΥΛΙΚΩΝ ΚΑΙ ΥΠΗΡΕΣΙΩΝ ΓΙΑ ΤΙΣ ΑΝΑΓΚΕΣ ΤΟΥ ΝΟΣΟΚΟΜΕΙΟΥ ΧΑΝΙΩΝ ΣΥΜΦΩΝΑ ΜΑ ΤΑ ΑΙΤΗΜΑΤΑ ΤΩΝ ΤΜΗΜΑΤΩΝ,,,235963.07,anonymous sponsor (empty sponsorAFMName)
