month,n_payments,total_eur
2021-08,1,185876.0
2021-10,3,183644.0
2021-11,15,392116.84
2021-12,23,2400762.0
2022-02,2,137850.4
2022-03,3,270425.2
2022-04,4,28774.79
2022-05,7,94493.4
2022-06,5,31881.69
2022-07,5,100821.4
2022-08,2,1492.76
2022-09,1,725.2
2022-10,2,1159.2
2022-11,1,725.2
2022-12,4,31856.76
2023-02,3,14231.34
2023-03,5,105855.01
2023-04,2,2644.2
2023-05,5,257836.2
2023-06,2,2644.2
2023-07,2,2644.2
2023-08,2,2644.2
2023-09,5,277118.2
2023-10,2,2644.2
2023-11,3,498644.2
2023-12,4,5288.4
2024-02,1,29376.0
2024-03,1,250461.4
2025-02,1,1010.22
2025-05,1,198400.0
2025-07,7,629058.0
2025-08,1,6077.59
2025-09,8,208683.04
2025-10,3,399255.2
2026-02,1,1590.0
2026-05,1,226920.0
2026-06,1,203360.0
2026-07,5,6729.6
2026-08,2,3180.0
