month,n_payments,total_eur
2021-08,30,698197.91
2021-09,17,328053.18
2021-10,12,87937.4
2021-11,88,1308806.74
2021-12,26,713800.89
2022-01,23,377234.38
2022-02,11,102086.1
2022-03,11,337423.24
2022-04,54,956171.38
2022-05,73,2578224.97
2022-06,27,1244426.78
2022-07,26,793846.03
2022-08,38,914468.7
2022-09,44,1020364.32
2022-10,40,505295.73
2022-11,58,1026900.61
2022-12,42,574607.58
2023-01,15,276992.18
2023-02,86,1286082.31
2023-03,10,87051.97
2023-04,48,1140146.71
2023-05,60,2422008.31
2023-06,52,916274.41
2023-07,49,1096415.43
2023-08,33,558362.43
2023-09,22,461228.25
2023-10,73,1303336.52
2023-11,27,1505033.79
2023-12,25,583342.73
2024-01,41,1355808.07
2024-02,64,2581331.72
2024-03,43,801773.34
2024-04,76,1656081.13
2024-05,41,1913927.2
2024-06,47,708672.89
2024-07,25,369123.76
2024-08,26,285621.59
2024-09,22,280930.42
2024-10,78,1307109.03
2024-11,21,324781.92
2024-12,28,619569.49
2025-01,96,134018.96
2025-02,318,1178596.33
2025-03,182,624774.22
2025-04,172,875330.72
2025-05,145,404228.72
2025-06,140,762601.35
2025-07,212,1108852.59
2025-08,109,466635.31
2025-09,288,968511.13
2025-10,271,973943.5
2025-11,164,683860.99
2025-12,132,550579.08
2026-01,18,122589.17
2026-02,228,1201424.92
2026-03,271,1203288.66
2026-04,224,837861.65
2026-05,243,748291.33
2026-06,401,1252020.12
2026-07,285,1058327.05
2026-08,194,494723.38
