ada,issue_date,subject,supplier_afm,supplier_name,amount_eur,reason
6Θ2Ι4690ΒΓ-ΦΔ2,2021-12-21,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΜΙΣΘΟΔΟΣΙΑ 12/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
ΩΦΒ54690ΒΓ-ΞΚΙ,2021-12-21,ΧΕ3455/21,,,,no sponsor block
9ΤΡ24690ΒΓ-7ΩΚ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΥΠΕΡΩΡΙΕΣ ΔΙΟΙΚΗΤΙΚΟΥ 10/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
Ψ72Φ4690ΒΓ-ΗΥΩ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΜΙΣΘΟΔΟΣΙΑ 12/2021 ΙΑΤΡΟΙ ΕΠΙΚΟΥΡΙΚΟΙ ΕΣΠΑ COVID 19,,,,no sponsor block
6ΡΑΖ4690ΒΓ-ΥΡΥ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΝΥΧΤΕΡΙΝΑ ΚΑΙ ΕΞΑΙΡΕΣΙΜΑ 11/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
65ΛΠ4690ΒΓ-ΦΤΝ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΕΦΗΜΕΡΙΕΣ ΕΤΟΙΜΟΤΗΤΑΣ 11/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
6ΔΘΕ4690ΒΓ-ΚΡΧ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΕΦΗΜΕΡΙΕΣ 11/2021 ΕΠΙΣΤΗΜΟΝΙΚΟ ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
6ΟΧΔ4690ΒΓ-8ΣΘ,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΥΠΕΡΒΑΣΕΙΣ 7/2021 ΙΑΤΡΟΙ ΕΠΙΚΟΥΡΙΚΟΙ ΕΣΠΑ COVID 19,,,,no sponsor block
68ΔΩ4690ΒΓ-238,2021-12-20,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΕΦΗΜΕΡΙΕΣ 11/2021 ΙΑΤΡΟΙ ΕΠΙΚΟΥΡΙΚΟΙ ΕΣΠΑ COVID 19,,,,no sponsor block
ΩΘΕΩ4690ΒΓ-Κ9Φ,2021-12-20,XE3450/21,,,,no sponsor block
ΨΛΦΓ4690ΒΓ-Μ9Γ,2021-12-17,ΧΕ3410/21,,,,no sponsor block
9ΟΔΣ4690ΒΓ-0ΦΞ,2021-12-17,ΧΕ3391/21,,,,no sponsor block
6ΝΦΑ4690ΒΓ-1ΛΓ,2021-12-17,ΧΕ3421/21,,,,no sponsor block
63ΕΙ4690ΒΓ-ΚΘΗ,2021-12-17,ΧΕ3417/21,,,,no sponsor block
Ψ0ΨΘ4690ΒΓ-Π6Η,2021-12-17,3416/21,,,,no sponsor block
ΨΜΠΟ4690ΒΓ-Τ5Ρ,2021-12-17,ΧΕ3444/21,,,,no sponsor block
912Λ4690ΒΓ-2ΩΞ,2021-12-06,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΕΦΗΜΕΡΙΕΣ 10/2021 ΕΠΙΣΤΗΜΟΝΙΚΟ ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
9Η6Ρ4690ΒΓ-ΚΤΦ,2021-12-06,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΝΥΧΤΕΡΙΝΑ ΚΑΙ ΕΞΑΙΡΕΣΙΜΑ 10/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
ΩΑΛΣ4690ΒΓ-ΨΚΘ,2021-12-06,ΧΕ3319/21,,,,no sponsor block
9ΠΘΚ4690ΒΓ-ΙΥ8,2021-12-06,ΧΕ3320/21,,,,no sponsor block
6ΒΕΒ4690ΒΓ-Π12,2021-12-03,ΕΝΤΟΛΗ ΠΛΗΡΩΜΗΣ ΜΙΣΘΟΔΟΣΙΑ 11/2021 ΕΠΟΧΙΑΚΟ ΕΠΙΚΟΥΡΙΚΟ ΕΣΠΑ COVID 19,,,,no sponsor block
