month,n_payments,total_eur
2021-08,409,6882478.15
2021-09,61,208545.52
2021-10,218,3454181.64
2021-11,279,2879816.45
2021-12,91,759863.2
2022-01,1,4214.0
2022-02,3,78708.53
2022-03,315,3877641.86
2022-04,217,2768377.76
2022-05,207,3580482.26
2022-06,18,107946.43
2022-07,45,992674.53
2022-08,106,683978.48
2022-09,85,953868.11
2022-10,64,797744.57
2022-11,154,1138512.83
2022-12,247,2677805.57
2023-01,49,413377.54
2023-02,115,834122.31
2023-03,141,956066.85
2023-04,110,1699759.56
2023-05,432,6490397.26
2023-06,231,3060273.29
2023-07,183,1918888.69
2023-08,131,878946.74
2023-09,62,2627193.43
2023-10,329,7250693.72
2023-11,122,1287801.65
2023-12,98,1330064.63
2024-01,282,3002354.98
2024-02,129,1583680.64
2024-03,190,1714871.77
2024-04,238,1933914.97
2024-05,139,1128483.38
2024-06,142,1093387.75
2024-07,365,3434821.39
2024-08,162,2042551.67
2024-09,33,226490.83
2024-10,39,398733.03
2024-11,56,532452.97
2024-12,162,1026633.06
2025-01,1,7365.6
2025-02,347,2870065.37
2025-03,180,1623087.21
2025-04,207,1524010.77
2025-05,240,2031423.53
2025-06,249,1479347.47
2025-07,212,1265617.98
2025-08,238,1812089.8
2025-09,241,1815304.51
2025-10,235,1413856.53
2025-11,893,5590515.15
2025-12,893,5522961.43
2026-01,15,126387.09
2026-02,421,2743353.91
2026-03,407,3184017.96
2026-04,214,1532456.22
2026-05,273,1668191.73
2026-06,318,2715489.11
2026-07,182,1315924.96
2026-08,13,80780.45
